LANGPORT-MUCHELNEY,,,,,,,,,,
Grid ref,ST428250,Long,-2.816902,Lat,51.021513,Elevation,20,ft,,
Station no,2072/2/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.94,2.73
February,,,,,,,,,0.28,2.52
March,,,,,,,,,3.23,1.73
April,,,,,,,,,2.33,2.35
May,,,,,,,,,0.95,1
June,,,,,,,,,0.68,0.94
July,,,,,,,,2.53,1.48,4.79
August,,,,,,,,2.9,1.09,4.36
September,,,,,,,,3.97,0.09,3.74
October,,,,,,,,1.87,3.18,8.5
November,,,,,,,,3.17,4.87,2.46
December,,,,,,,,3.58,5.42,2.7
Total,,,,,,,,,26.54,37.82
,,,,,,,,,,
Unknown where this gauge was but elevation suggests not in the heart of the village,,,,,,,,,,
Site over sheltered,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Muchelney SRC_ID 9122,,,,,,,,,,
1958-1978,,,,,,,,,,
