CATCOTT-THE-CRIFT,,,,,,,,,,,,,,,,,,,,
Grid ref,ST394392,Long,-2.86743,Lat,51.14914,Elevation,140,ft,,,,,,,,,,,,
Station no,2006/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.18,0.52,2.98,3.82,2.58,4.96,2.06,2.63,3.15,4.87,2.04,2.9,1.83,,,,
February,,,4.06,0.27,2.33,2,4.5,0.91,1.13,2.31,2.51,0.34,0.94,0.95,1.52,1.48,,,,
March,,,2.63,2,0.78,2.69,3.79,0.18,1.35,2.25,2.54,1.67,0.97,0.21,0.54,0.84,,,,
April,,,1.01,2.51,3.85,2.28,2.46,0.07,2.99,2.28,2.26,0.64,0.76,1.62,0.62,3.51,,,,
May,,,1.71,0.91,1.5,0.88,2.12,2.01,0.75,2.38,1.21,4.86,2.04,2.57,4.46,4.45,,,,
June,,,1.53,0.86,2.57,2.83,0.69,1.39,3.7,0.8,1.65,0.67,1.52,2.44,3.8,2.87,,,,
July,,,2.06,0.56,0.5,4.64,3.45,3.43,4.17,3.39,2.25,2.73,2.4,2.06,1.84,1.53,,,,
August,,,0.91,3.99,1.64,0.42,1.6,2.13,1.91,0.14,3.28,4.8,3.45,2.77,1.79,,,,,
September,,,1.67,2.46,3.36,3.62,3.1,2.57,0.82,1.56,1.14,1.89,3.09,2.2,2.1,,,,,
October,,,2.86,3.21,4,1.42,3.36,2.5,3.29,4.26,1.32,2.33,2.55,3.72,3.57,,,,,
November,,,0.54,1.24,5.8,2.91,2.18,3.88,5.29,5.36,2.21,1.19,2.4,5.48,0.86,,,,,
December,,,0.82,6.44,4.13,2.18,2,2.92,1.68,2.51,1.68,2.4,1.99,2.78,4.77,,,,,
Total,,,,26.63,30.98,28.85,33.07,24.57,32.04,29.3,24.68,26.67,26.98,28.84,28.77,,,,,
,,,,,,,,,,,,,,,,,,,,
In orchard,,,,,,,,,,,,,,,,,,,,
The Crift says it was near church so NGR in this area but given elevation of 100ft too low for this part of the village,,,,,,,,,,,,,,,,,,,,
Modern maps have house called The Orchard nearby,,,,,,,,,,,,,,,,,,,,
1933 Jan Estimated,,,,,,,,,,,,,,,,,,,,
1946 Terminated due to death of observer,,,,,,,,,,,,,,,,,,,,
