"DEADWATER, HAWICK NEW CASTLETON",,,,,,,,,,,,,,,,,,,,
Grid ref,NY624970,Long,-2.5932367,Lat,55.265714,Elevation,2000,ft,,,,,,,,,,,,
Station no,RR2675,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,4,8.8,4.2,3.2,8.4,7,6,5.5,5.4,2.2,9,12,4.4,11,5,10,5,10
February,,,2,4.1,2.3,2.7,6,3,8,9,3,4.4,8,8,4,3,5.4,6.2,2.6,3
March,,,3.8,2.1,3.2,2.2,3.5,3.1,5.4,3.4,2,2.4,5,5,4,2.4,5.2,4,4,3.6
April,,,3.5,3.2,2,1,3.1,4.4,4,3.2,1,4.4,3,2,5,2.3,6,4.2,3,2.4
May,,,3.4,2.5,2,7,2,3,3,3,4,2,4.3,2.3,3,2,4,4,4,3
June,,,5.2,4.8,3,1,2,2.5,2,2,2.4,3,4,4,2,5,3,3.4,3.4,4
July,,,5.1,1.1,2.8,3,6.2,5,1,2.3,1,4,6,5,3,4,2,5,2.5,5
August,,,6.3,4.3,2,3.2,5,5.1,5,1.6,1.5,3,8,5,5,5,3,7.4,4,5.4
September,,,6,6.3,5,1,6,3,4.5,6,2,3,9,5,4.5,6,7,4,5.4,4
October,,,7.1,4.3,6.2,6,3,4,5,4,8,4,9.2,4.4,8,7.2,6,7,5,3
November,,,2,4,5,4.2,5.2,2,4.4,3,4,3.4,8,5,6,6,5,9,7,3.6
December,,,4.6,3.8,5.1,5.1,5,3.4,8,7.3,3.2,7,9.2,5.3,3,9,11,6,3,6
Total,,,53,49.3,42.8,39.6,55.4,45.5,56.3,50.3,37.5,42.8,82.7,63,51.9,62.9,62.6,70.2,48.9,53
