"GIRVAN, GLENDOUNE GARDENS",,,,,,,,,,,,
Grid ref,NX191966,Long,-4.846139,Lat,55.230362,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.49,2.35,4.81,5.98,4.67,2.80,4.15,2.18,4.64,3.47,,
February,3.18,2.47,1.35,3.79,3.48,3.05,2.48,2.57,3.07,2.90,,
March,0.43,2.05,3.78,5.78,2.11,2.54,2.45,3.68,4.78,3.66,,
April,2.55,3.76,1.95,1.81,2.85,4.05,2.10,3.30,1.70,3.32,,
May,3.58,1.85,2.71,4.20,2.94,1.25,4.97,3.81,2.21,1.88,,
June,1.38,3.35,1.58,2.82,2.66,1.88,2.15,4.45,2.87,2.20,,
July,2.93,0.92,2.80,3.97,2.98,2.42,2.76,2.34,4.45,6.45,,
August,4.89,5.66,2.83,5.49,-999.00,5.12,3.37,4.07,3.26,2.80,,
September,3.53,4.11,4.47,3.41,4.38,2.65,1.60,1.39,5.66,2.07,,
October,5.81,5.35,2.02,8.42,2.53,3.58,8.30,7.39,1.58,7.81,,
November,4.71,4.63,3.87,3.50,4.65,4.75,3.73,4.62,4.29,1.52,,
December,5.25,5.40,4.15,4.82,3.30,3.48,4.98,4.32,5.60,5.14,,
Total,43.73,41.90,36.32,53.99,42.73,37.57,43.04,44.12,44.11,43.22,,
Calc annual,43.73,41.90,36.32,53.99,36.55,37.57,43.04,44.12,44.11,43.22,,
Difference,-0.00,0.00,0.00,0.00,6.18,0.00,-0.00,0.00,0.00,-0.00,,
