CARDIFF COGAN PUMPING STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST171729,Long,-3.194349,Lat,51.448994,Elevation,122,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,,5.76,1.74,3.77,0.85,0.95,2.76,5.22,5.49,3.34,4.71,2.39,1.73,1.25,4.26,3.29,1.66,1.65,2.9,3.56,0.99,1.87,1.71,5.98,4.91,1.66,2.1,4.86,4.28,0.68,6.86,2.48,2.4,1.94,4.4,1.66,5.08,7.19,1.69,4.12,2.89,1.06,4.7,4.39,3.99,3.95,2.98,1.88,5.63,3.92,6.43,5.07,8.8,1.8,5.64,3.76,5.95,3.19,2.96,0.92,4.51,5.18,5.6,6.41,3.48,4.07,5.04,6.82,3.93,4.09,4.24,3.57,8.12,1.44,1.53,4.9,4.45,1.07,2.51,3.36,4.29,4.71,4.17,4.95,4.14,,,,,,,,
February,,,,,,,,3.09,2.96,5.23,3.41,4.04,2.56,3.29,3.52,3.33,0.83,1.09,0.73,1.58,0.47,0.1,1.74,5.72,3.84,0.07,0.92,4.61,1.94,3.62,5.88,0.68,1.21,2.09,5.88,1.08,3.02,1.68,2.41,0.81,5.27,4.31,3.09,1.08,3.09,4.37,5.39,1.33,2,2.82,0.69,0.13,3.39,6.34,0.43,5.7,3.02,3.34,4.62,1.53,0.63,3.4,0,4.73,0.63,3.98,1.58,6.95,1.83,2.74,3.17,3.62,0.26,1.88,1.3,5.42,3.27,1.28,2.47,1.96,6.5,4.65,1.26,2.17,4.99,2.07,0.26,4.57,5.52,0.43,2.37,,,,,,,,
March,,,,,,,,2.51,1.46,1.03,2.02,3.66,1.89,0.43,3.06,1.36,3.41,2.15,4.11,3.1,1.22,1.26,0.81,0.19,3.48,3.53,4.52,3.84,1.48,1.25,0.97,1.58,2.52,5.7,2.09,6.37,2.15,1.31,2.98,4.23,0.69,2.71,6.66,5.17,6.62,1.56,3.06,2.58,2.1,4.08,3.12,2.44,3.24,1.31,1.61,0.26,0.72,4.17,4.1,0.73,2.48,0.96,1.97,3.6,1.86,0.97,3.39,3.76,0.65,1.23,3.27,2.48,2.34,1.44,0.52,1.45,1.22,6.46,1.45,1.86,1.98,4.19,2.95,1.52,3.97,1.08,1.19,4.96,0.93,3.04,2.13,,,,,,,,
April,,,,,,,,2.8,4.16,2.87,2.13,1.32,6.09,0.74,1.47,2.4,2.58,1.29,1.53,3.2,2.34,1.65,1.6,0.19,1.74,1.95,0.8,3.98,1.5,4.4,1.66,3.84,2.02,2.63,1.5,2.63,1.27,3.14,2.55,2.26,2.83,2.5,0.44,4.42,2.53,1.38,1.75,2.02,1.44,1.62,3.62,0.56,2.72,2.31,3.54,2.61,2.07,1.96,1.69,0.43,2.62,2.86,4.1,1.91,2.68,5.34,3.38,4.39,0.16,3.15,2.98,1.31,1.24,1.51,3.06,1.62,2.16,3.15,3.06,2.71,2.96,3.83,3.01,4.06,0.71,1.96,1.85,0.21,0.9,3.17,2.86,,,,,,,,
May,,,,,,,,1.84,4.32,2.83,1.17,3,2.21,1.78,2.81,3.67,5.84,2.01,1.28,2.14,1.62,3.53,1.26,2.24,2.55,0.46,0.25,1.21,3.67,2.33,1.59,0.72,1.77,3.17,3.2,0.14,4.55,2.45,1.49,1.83,3.24,0.96,2.25,2.61,2.21,2.6,4.01,2.54,1.26,0.7,2.86,1.93,1.23,2.41,4.96,5.04,2.02,2.06,0.55,3.35,1.52,7.75,4.36,2.24,1.48,1.14,2.08,2.51,2.77,0.99,2,2.16,4.52,3.86,2.46,3.45,4.93,2.31,3.62,3.86,1.6,2.68,3.8,3.16,2.02,4.74,1.13,1.62,4.63,1.23,1.43,,,,,,,,
June,,,,,,,,1.57,3.06,5.98,2.1,3.67,4.54,2.82,2.22,2.59,0.89,0.56,3.57,0.33,2.11,1.81,1.82,0.41,2.45,0.78,2.11,3.26,1.65,1.07,1.72,2.9,2.25,2.25,0.77,3.6,0.76,3.8,0.33,2.48,5.18,2.72,5.96,2.21,2.57,1.42,3.04,2.04,1.11,1.62,2.75,0.12,1.05,0.56,3.09,0.12,1.96,3.81,2.55,2.37,0.83,4.39,1.31,2.09,1.79,3.39,4.05,1.2,1.42,2.23,0.7,1.29,0.49,2.47,3.92,5.09,4.03,2.6,3.02,0.8,1.55,0.43,2.23,1.92,3.72,4,2.55,1.25,3.2,1.78,1.89,,,,,,,,
July,,,,,,,,5.01,1.54,4.61,5.47,2.43,5.73,3.32,3.91,0.7,3.6,1.77,6.33,4.48,3.15,2.24,2.65,4.41,3.95,4.95,1.48,1.77,0.74,1.37,1.05,2.81,1.93,4.49,4.37,0.84,0.99,2.78,3.34,3.36,2.83,0.2,3.46,0.62,5.67,4.8,1.72,2.15,5.9,1.93,4.51,0.94,3.31,2.24,7.22,3.55,2.27,4.45,2.56,2.4,3.01,4.82,3.69,2.5,2.44,0.38,8.54,3.15,2.98,6.93,4.28,2.87,2.59,2.46,2.93,2.54,2.07,2.68,4.43,2.3,4.93,1.3,2.16,4.61,4.61,0.17,3.32,5.31,2.92,4.23,6.2,,,,,,,,
August,,,,,,,,5.85,9.73,6.98,0.4,7.47,6.95,1.94,3.04,2.36,1.79,2.37,3.17,3.78,3.15,6.72,4.15,2.34,4.19,3.71,2.49,7,3.17,1.45,3.26,3.58,3.46,5.85,3.3,4.39,1.15,3.5,6.75,3.18,5.96,2.4,9.52,0.98,3.49,1.4,3.64,7.24,2.49,1.67,2.31,2.66,3.37,2.84,7.14,6.76,4.44,5.17,3.07,4.12,4.66,5.08,1.4,2.02,3.55,2.27,1.3,0.72,4.2,4.16,0.27,7.16,4.61,5.04,3.91,2.09,8.22,1.2,5.63,2.44,8.32,4.74,6.45,6.34,3.28,0.89,8.58,4.31,4.48,2.98,5.02,,,,,,,,
September,,,,,,,,3.6,3.49,4.2,3.65,2.46,2.67,6.37,2.19,6.53,3.31,3.77,1.24,1.88,1.19,2.73,3.61,2.15,2.05,1.45,9.08,5.61,2.31,3.11,1.17,3.08,3,4.1,3.78,1.52,6.84,0.86,3.12,3.57,0.18,2.23,0.69,3.08,3.29,1.33,2.63,2.03,9.14,1.81,2.53,3.35,2.31,2.87,6.56,5.56,2.14,7.29,0.61,0.64,4.55,1.86,5.15,2.06,4.15,8.55,3.57,2.05,1.92,0.66,1.87,0.72,3.75,4.49,5.18,3.23,5.04,2.06,3.77,2.66,7.5,3.99,4.66,3.97,7.02,2.93,5.13,5.81,7.18,0.42,5.4,,,,,,,,
October,,,,,,,,4.6,6.57,1.48,4.72,3.12,11.74,4.48,1.39,6.13,5.74,2.8,1.98,2.62,1.95,6,2.42,5.85,4.65,4.06,4.24,1.6,6.26,2.97,5.8,2.58,3.45,10.31,2.69,2.41,4.37,6.53,2.72,6.66,5.27,4.02,5.51,4.83,2.03,4.1,7.35,5.99,2.24,1.93,2.77,2.05,0.84,6.94,6.86,6.37,4.51,3.65,6.67,6.84,4.41,1.14,7.95,4.25,3.41,6.48,2.31,4.42,8.06,3.2,5.59,3.2,4.16,2.71,4.89,5.37,1.01,0.83,5.75,7.82,2.41,1.75,5.3,3.24,6.22,1.86,2.02,4.6,4.63,5.23,9.88,,,,,,,,
