STROUD-BERRIMANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO881053,Long,-2.1737649,Lat,51.74627,Elevation,750,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,4.65,2.87,4.4,2.07,4.55,4.75,5.49,3.53,4.58,1.18,5.82,2.3,4.29,3.1,3.09,0.73,4.29,4.32,3.69,5.84,2.73,2.63,2.85,6.3,2.39,,,,,,
February,1.17,0.41,3.85,7.85,0.67,4.32,2.25,3.52,3.02,0.72,0.61,2.6,0.31,3.73,0.38,3.21,3.03,5.08,0.96,1.55,3.17,4,0.57,1.81,0.83,,,,,,
March,3.65,2.07,3.55,2.97,1.45,0.5,0.55,3.37,3.71,0.26,2.48,0.35,2.06,3.31,2.52,0.72,2.2,4.13,0.24,2.25,1.01,2.8,2.5,1.36,0.56,,,,,,
April,4.75,0.98,3.74,3.23,3.42,2.52,4.07,1.46,1.58,1.15,3.23,2.9,3.54,1.29,2.17,5.6,2.78,3.97,0.21,4.08,1.93,1.05,1.3,0.86,1.4,,,,,,
May,1.98,2.69,0.6,1.56,5.86,3.94,2.5,1,1.12,2.39,2.08,3.85,7.21,2.31,1.46,1.18,1.38,2.23,2.71,1.33,0.73,2.35,4.4,,1.03,,,,,,
June,2.74,0.1,1.23,0.49,2.91,0.05,2.05,3.9,2.84,1.84,0.77,3.98,1.89,2.83,1.47,3.78,2.76,1.21,1.76,2.31,0.51,1.36,0.33,,3.61,,,,,,
July,5.1,0.42,5.46,1.85,5.09,4.13,3.38,3.89,2.61,2.34,3.65,5.45,2.65,1.82,2.89,0.98,6.21,3.06,3.15,5.21,2.7,1.65,2.22,,2.93,,,,,,
August,1.63,2.45,5.43,2.45,4.9,2.9,2.4,5.12,2.07,3.37,2.85,6.4,1.48,1.04,2.48,2.42,0.49,1.03,3.8,3.98,0.12,4.48,4,2.1,2.61,,,,,,
September,1.95,2,2.38,2.77,5.1,5.74,0.82,5.57,1.05,0.32,3.06,3.05,3.2,3.57,2.27,5.52,3.63,2.59,2.91,0.98,1.6,1.14,2.5,1.8,3.4,,,,,,
October,2.24,1.85,1.7,5.6,5.14,3.95,3.05,2.65,5.57,5.2,3.49,0.82,5.76,4.85,2.42,5.44,1.69,3.75,3.61,3.47,3.22,2.58,4.35,2.4,5.34,,,,,,
November,2.25,2.52,2.05,2.07,2.48,2.42,6.69,2.82,5.38,10.14,4.2,5.18,2.4,0.95,1.6,6.23,3.61,1.72,3.85,5.76,5.1,2.23,1.84,2.05,6.4,,,,,,
December,3.15,1.5,5.17,2.02,5.51,4,0.65,3.26,3.16,9.12,4.27,1.43,1.56,0.55,6.9,4.24,4.11,2.78,4.54,2.63,1.3,2.05,4,1.75,2.3,,,,,,
Total,35.26,19.86,39.56,34.93,47.08,39.22,33.9,40.09,36.69,38.03,36.51,38.31,36.35,29.35,29.65,40.05,36.18,35.87,31.43,39.39,24.12,28.32,30.86,,32.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 May Jun Jul estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
