WESTMINSTER-ST-GEORGES-SQUARE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ295782,Long,-0.13621381,Lat,51.487929,Elevation,20,ft.,,,,,,,,,,,,,
Station no,RR8099,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,3.42,1.05,1.12,2.74,,2.33,1.76,2.29,1.12,,,,,,,
February,,,,,,3.15,3.22,0.74,0.85,,0.54,0.21,1.93,2.76,,,,,,,
March,,,,,,0.61,3.82,1.55,1.08,,1.36,1.12,1.53,2,,,,,,,
April,,,,,,1.29,1.1,1.65,3.04,,2.75,1.19,2.8,1.38,,,,,,,
May,,,,,,2.79,1.86,2.28,2.02,,0.67,1.2,1.1,2.14,,,,,,,
June,,,,,,0.63,1.93,2.05,1.19,,1.48,0.29,1.3,0.51,,,,,,,
July,,,,,,3.78,1.5,4.17,6.61,,3.91,0.18,3.65,2.75,,,,,,,
August,,,,,,2.65,5.6,3.89,1.41,,1.93,1.02,2.15,1.55,,,,,,,
September,,,,,,1.96,1.4,2.48,4.93,,4.3,1.9,1.68,1.05,,,,,,,
October,,,,,,2.03,2.98,2.94,1.27,,0.93,0.82,0.83,5.24,,,,,,,
November,,,,,3.06,2.2,4.02,1.38,2.1,,0.88,2.01,1.28,1.43,,,,,,,
December,,,,,5.88,5.14,2.25,1.02,1.95,,1.87,1.03,2.95,2.02,,,,,,,
Total,,,,,,29.65,30.73,25.27,29.19,,22.95,12.73,23.49,23.95,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is St Georges Sq. just S of St Saviours Church. Altitude from OS map,,,,,,,,,,,,,,,,,,,,,
