HOLYWOOD WATERWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ409780,Long,-5.818603,Lat,54.630645,Elevation,310,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6206/1/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.58,2.71,2.23,3.2,,1.38,0.74,3.06,3.26,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,2.86,4.33,4.43,4.04,4.05,,
February,,,,,,,2.36,1.04,0.34,2.77,,0.09,0.89,2.44,2.83,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,3.63,2.48,1.12,2.42,4.62,,
March,,,,,,,3.47,0.95,3.66,2.54,,2.18,1.26,1.08,1.18,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,4.19,1.83,1.8,3.35,2.17,,
April,,,,,,,1.81,1.58,1.47,2.92,,0.72,1.46,1.64,2.18,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,0.62,2.3,0.73,1.44,,,
May,,,,,,,4.52,1.48,2.28,2.7,,2.7,1.83,0.63,2.87,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,3.6,2.86,1.04,2.86,,,
June,,,,,,,1.26,0.6,4.15,0.42,,0.98,3.25,0.89,3.46,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,2.78,5.59,2.65,1.09,,,
July,,,,,,,3.38,2.89,5.78,3.31,,3.42,1.64,2.73,2.81,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07,3.41,1.56,3.91,4.67,,,
August,,,,,,,2.66,1.84,2.79,4.74,,3.74,4.42,4.2,2.53,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,3.35,1.68,7.44,4.04,,,
September,,,,,,,2.27,3.99,1.06,1.76,,0.81,2.24,1.18,0.1,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96,4.37,3.2,3.85,4.87,,,
October,,,,,,,6.76,1.96,1.21,2.02,,4.35,3.82,1.75,6.81,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,5.8,2.73,1.82,3.84,,,
November,,,,,,,3.5,2.77,7.03,1.66,,3.87,3.77,1.38,1.66,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,7.09,3.58,1.58,2,,,
December,,,,,,,4.2,2.38,3.9,1.56,,4.48,1.89,4.44,2.41,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,4.45,6.25,5.03,5.54,,,
Total,,,,,,,39.77,24.19,35.9,29.6,,28.72,27.21,25.42,32.1,23.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.07,46.15,38.39,35.4,40.16,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A long gap in the records (1896 until 1953) but the site is the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
