KILMARNOCK (CRAIG HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 37798 37196,Long,-4.576092,Lat,55.601275,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5229/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,4.43,5.66,3.13,4.23,2.79,,4.25,5.78,3.8,2.89,0.85,,,,,,,,,
February,,,,,,,,,,,,3.74,0.05,2.73,0.52,4.28,,4.37,1.49,4.73,1.49,1.73,,,,,,,,,
March,,,,,,,,,,,,1.1,2.71,2.12,2.11,2.48,,0.89,3.25,3.55,4.87,3.19,,,,,,,,,
April,,,,,,,,,,,,2.06,3.22,2.13,2.73,2.73,1.02,1.77,0.45,2.43,2.13,1.64,,,,,,,,,
May,,,,,,,,,,,,2.72,2.64,1.98,3.11,0.67,1.91,1.3,3.59,0.45,1.05,3.08,,,,,,,,,
June,,,,,,,,,,,,5.02,1.4,2.28,2.05,3.62,2.19,3.83,4.63,2.61,1.28,1.36,,,,,,,,,
July,,,,,,,,,,,,4.25,3.68,3.76,2.75,1.69,5.25,4.66,4.92,5.26,3.93,4.13,,,,,,,,,
August,,,,,,,,,,,,1.85,1.92,3.57,3.54,2.29,4.42,3.76,2.48,2.91,3.03,4.62,,,,,,,,,
September,,,,,,,,,,,,1.27,4.84,0.81,5.15,4.91,4.24,2.68,4.69,2.86,5.58,2.18,,,,,,,,,
October,,,,,,,,,,,,3.42,6.25,2.67,6.3,8.38,4.68,3.17,10.05,1.95,4.55,3.66,,,,,,,,,
November,,,,,,,,,,,4.62,7.27,3.93,2.2,1.13,4.44,4.11,0.61,6.12,7.61,5.09,3.81,,,,,,,,,
December,,,,,,,,,,,4.05,3.93,6.52,1.76,5.1,3.44,6.44,2.7,2.4,3.33,6.16,3.53,,,,,,,,,
Total,,,,,,,,,,,,41.06,42.82,29.14,38.72,41.72,,33.99,49.85,41.49,42.05,33.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5229/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,647050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
