BOLTON HALLIWELL NEW ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD693093,Long,-2.46512,Lat,53.57968,Elevation,472,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.9,5.84,5.23,5.49,5.58,2.39,7.88,,,,,,6.82,5.78,3.22,6.74,3.01,2.92,2.56,6.42,2.97,,,,,,,,
February,1.56,4.56,4.8,1.46,1.93,1.39,5.05,7.24,,,,,,3.2,3.09,3.9,1.18,1.07,1.76,3.65,0.82,0.46,,,,,,,,
March,3.83,2.24,4.75,4.43,5.47,1,4.55,4.2,,,,,,1.31,3.46,3.3,3.46,2.72,4,3.4,4.94,2.67,,,,,,,,
April,,4.36,2.89,1.37,1.48,1.15,3.07,2.38,,,,,,2.33,0.99,1.58,2.15,1.52,3.02,3.01,1.85,2.69,,,,,,,,
May,,2.29,3.09,2.36,2.19,2.7,0.88,4,,,,,,0.8,2.18,2.52,5.46,3.67,0.78,4.15,2.86,2.84,,,,,,,,
June,,3.82,6.36,2.64,1.99,4.67,3.25,2.37,,,,,,4.32,0.77,5.23,2.51,1.27,2.84,0.98,4.62,3.1,,,,,,,,
July,,6.13,4.96,7.82,4.03,6.25,4.13,8.06,,,,,,3.67,5.33,2.35,4.99,1.55,8.63,4.27,4.4,3.32,,,,,,,,
August,,1.97,3.74,5.9,8.06,3.37,4.85,6.04,,,,,,3.42,2.22,2.07,3.69,2.34,4.47,8.05,6.38,9.82,,,,,,,,
September,,6.78,9.88,3.12,4.67,6.22,6.6,3.57,,,,,,7.55,4.53,6.31,4.33,5.5,2.26,6.04,2.97,4.18,,,,,,,,
October,,6.56,6,7.01,6.45,6.42,3.37,5.95,,,,,,6.55,3.42,7.5,5.9,3.25,3.1,4.18,4.96,5.33,,,,,,,,
November,,2.16,4.73,3.96,8.25,5.89,4.91,8.62,,,,,,5.3,2.42,4.12,3.71,1.79,6.98,2.53,10.9,4.66,,,,,,,,
December,,4.24,5.03,1.74,4.22,1.96,6.76,5.09,,,,,,5.05,5.75,4.12,6.81,3.6,3.22,6.1,0.76,8.38,,,,,,,,
Total,,47.01,62.07,47.04,54.23,46.6,49.81,65.4,,,,,,50.32,39.94,46.22,50.93,31.29,43.98,48.92,51.88,50.42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robserver, W Tyson, lived at No 316 in 1871 but had moved to No 365 New Road by 1881. That might explain gap in records and change in elevation from 549 ft in 1871 to 470 ft by 1881",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Record notes that 1890 return not printed as ""its great excess over other returnes appeared to prove its inaccuracy"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
