NEATH GNOLL RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS764975,Long,-3.788433,Lat,51.662647,Elevation,204,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,,,,,8.15,3.72,6.23,3.32,3.18,0.72,1.17,5.25,5.59,7.34,4.34,6.52,4.53,2.28,2.18,6.78,5.68,3.35,2.64,5.12,5.39,1.97,2.59,3.48,7.2,6.86,3.82,2.76,5.88,6.91,1.73,8.54,3.19,3.68,2.48,6.68,2.81,6.47,9.4,4.21,6.76,5.55,2.46,5.24,8.33,10.26,8.06,6.14,3.65,5.46,4.26,8.52,5.62,12.26,2.45,8.16,5.29,7.47,3.5,6.16,1.03,7.31,5.85,6.8,6.77,3.78,3.33,5.41,7.83,5.56,4.21,6.3,4.13,10.67,2.14,1.61,6.35,6.51,1.97,3.92,3.38,6.52,4.96,4.51,6.09,5.98,,,,,,,,,
February,,,,,,3.48,7.71,4.71,2.86,6.04,6.71,6.89,4.05,6.2,3.1,6,1.01,1.27,1.05,3.46,1.76,0.13,3.02,6.58,4.88,0.09,1.4,6.36,3.03,4.24,6.49,1.79,2.02,3.4,6.33,1.91,4.02,3.08,3.6,0.87,6.93,6.01,4.32,2.4,6.51,9.62,6.94,2,4.73,3.59,3.21,0.13,6.17,9.58,0.52,8.78,5.17,4.19,5.7,1.13,0.54,5.43,0,5.22,0.74,5.52,2.22,6.97,2.87,4.61,5.07,4.92,0.36,3.16,1.92,6.79,4.5,0.62,2.56,2.26,8.07,5.53,0.92,3.38,6.51,2.87,0.33,5.78,5.76,0.52,4.97,,,,,,,,,
March,,,,,,1.74,3.98,2.88,2.02,3,2.37,6.24,3.95,1.21,4.59,2.63,6.32,2.18,5.08,3.99,2.98,1.57,1.4,0.82,3.44,4.03,5.12,5.77,1.53,1.86,1.14,2.66,3.49,8.23,2.5,6.5,4.18,2.83,5.01,5.4,1.44,3.35,9.18,8.21,9.14,1.83,2.04,2.91,2.89,5.91,7.38,5.09,4.3,2.45,2.23,1.16,0.93,5.39,4.15,1.72,2.71,1.1,2.49,3.39,4.03,1.12,3.32,2.73,1.24,2,3.66,3.05,3.92,1.5,0.35,2.72,1.4,8.09,2.56,2.8,2.99,6.05,5.05,3.59,4.34,3.28,1.3,6.13,1.01,5.29,2.45,,,,,,,,,
April,,,,,,2.15,3.17,3.59,3.09,2.38,2.66,2.87,5.61,1.53,2.15,3.55,3.21,1.29,1.77,2.86,2.11,5.04,1.94,0.17,3.05,2.74,1.15,4.93,2.64,5.83,2.37,4.57,3.05,2.36,3.39,3.89,1.42,4.61,2.73,4.8,4.2,4.59,0.79,7.48,2.41,2.85,3.12,2.43,2.31,2.68,7.32,1.42,3,2.99,4.05,3.55,2.26,1.94,1.38,0.74,3.2,3.71,3.32,2.72,4.01,5.83,3.73,3.24,0.14,3.97,3.3,1.51,2.02,1.51,4.02,2.75,1.89,3.89,2.85,4.03,4.4,3.9,4.93,3.94,1.48,4.13,1.51,0.38,1.29,5.94,3.59,,,,,,,,,
May,,,,,,3.55,0.52,3,5.97,3.71,3.11,3.43,2.13,2.01,3.97,3.12,4.68,2.09,2.24,2.24,3.05,4.03,2.06,3.26,3.79,0.36,0.07,2.12,3.68,4.4,3.31,1.16,2.83,3.62,4.22,1.03,7.38,3.27,3.88,2.21,3.04,2.16,2.71,4.83,4.04,2.9,3.99,3.1,2.51,1.9,4.42,2.76,2.51,3.43,3,6.59,3.69,2.89,1.04,4.19,2.64,4.09,6.32,2.02,2.66,2.26,1.21,2.03,5.28,0.86,1.26,2.83,7.19,4.44,1.92,4,3.15,2.71,3.52,4.91,1.6,2.79,4.73,3.66,3.73,5.77,1.49,2.56,4.56,1.18,1.65,,,,,,,,,
June,,,,,,3.9,2.04,2.42,3.17,8.61,2.55,5.37,4.94,5.19,2.46,6.34,1,0.62,3.43,0.24,4.25,2.35,2.73,1.92,3.68,0.62,2.07,3.73,2.91,1.28,4.72,3.94,3.64,1.53,2.21,2.88,3.63,6.57,1.28,3.29,4.09,3.55,11.84,3.64,1.5,2.09,4.4,2.98,2.46,2.5,4.46,1.34,1.93,1.2,2.76,0,2.37,4.76,5.29,3.26,2.48,5.2,3.1,1.89,1.95,6.75,3.42,2.48,3.52,3.42,0.68,1.54,0.2,4.87,3.51,6.14,6.4,2.58,5.96,0.52,2.88,2.14,3.48,2.75,7.35,6.78,2.84,2.25,5.49,4.4,2.83,,,,,,,,,
July,,,,,,5.12,2.52,3.75,2.45,5.52,8.8,3.38,7.13,5.74,5.78,1.92,5.15,3.04,7.08,4.08,5.16,3.16,2.45,4.6,5.04,6.06,3.37,1.77,1.64,1.45,2.13,1.6,3.16,3.74,3.45,2.51,2.82,2.85,5.55,4.44,5.61,0.63,5.18,1.26,5.95,7.64,2.88,3.9,8.17,1.45,9.74,2.45,7.26,4.9,6.64,3.31,2.65,5.4,3.28,4.9,3.81,7.15,5.83,5.58,0.87,1,6.96,3.35,5.38,10.34,4.05,4.05,5.76,4.8,4.49,5.27,4.3,4.53,3.13,1.74,6.14,1.17,2.57,7.56,6.77,3.94,4.4,5.28,5.31,4.68,7.05,,,,,,,,,
August,,,,,,7.19,4.59,6.57,5.69,8.27,0.89,6.08,5.42,2.72,1.76,2.33,2.54,2.75,4.86,5.17,4.4,9.76,5.1,3.96,4.93,5.26,3.04,9.05,5.48,2.15,5.05,6.62,3.26,8,4.13,6.17,5.62,7.75,5.89,2.53,9.19,4.86,13.32,2.32,7.12,5.56,4.88,9.95,3.42,3.34,3.56,6.73,4.73,5.96,6.68,8.98,6.18,6.46,5.06,4.4,7.05,4.27,0.95,1.64,3.84,1.72,1.88,1.69,4.74,3.41,0.52,6.75,6.25,5.83,4.12,3.7,8.33,0.98,9.3,2.94,9.63,9.51,7.73,6.68,6.14,0.84,8,5.78,5.14,1.87,8.51,,,,,,,,,
September,,,,,,5.11,6.19,4.9,3.74,6.32,3.99,3.21,4.14,6.78,5.93,9.21,5.61,5.38,2.03,2.13,2.17,4.27,5.42,3.43,1.53,1.73,7.55,7.32,2.2,2.25,2.45,3.51,1.96,6.07,4.66,2.78,2.05,1.22,3.92,5.6,0.3,4.27,1.88,3.88,6.14,2.03,3.94,4.09,13.99,3.57,6.14,3.33,5.62,5.19,7.16,4.6,1.79,7.39,1.79,1.15,6.4,2.65,7.14,1.62,5.22,9.32,3.27,3.65,2.62,0.65,2.4,0.58,4.21,7.02,5.69,3.65,9.16,2.98,6.03,2.63,9.77,5.48,2.56,6.37,7.39,3.21,6.39,9.04,9.86,0.47,6.3,,,,,,,,,
October,,,,,,5.87,5.87,4.99,6.22,2.49,3.91,3.48,8.61,5.54,3.51,5.53,9.01,3.88,2.29,4.18,4.47,11.94,3.47,7.61,7.77,4.07,5.2,3.26,6.86,4.44,6.29,4.13,5.01,11.92,4.06,2.62,9.39,7.44,3.47,10.63,4.5,3.96,6.91,6.07,2.99,5.63,12.91,9.43,5.12,2.38,5.6,2.95,1.62,6.5,6.27,6.39,4.6,4.25,10.88,8.43,8.55,1.77,9.71,8.5,3.95,7.41,2.54,3.95,9.16,3.91,6.38,4.32,5.17,4.92,7.77,6.55,1.5,1.7,5.6,8.67,3.75,0.86,4.14,4.5,11.38,3,1.52,5.73,6.44,5.43,6.89,,,,,,,,,
November,,,,,,7.56,4.48,9.82,4.33,0.67,6.04,7.05,7.04,6.99,2.16,6.3,6.18,4.91,8.25,2.4,7.88,4.81,4.26,3.44,6.56,6.83,1.59,4.08,4.52,3.17,5.79,1.36,5.17,2.98,4.22,5.01,5,4.57,4.16,2.81,6.76,9.44,4.64,10.6,6.43,4.22,6.65,4.03,5.07,3.86,2.91,4.46,2.76,4.7,4.54,3.4,10.02,5.22,7.72,14.91,5.68,9.55,3.81,1.71,2.02,7.88,5.84,3.22,8.23,10.98,11.59,3,0.98,2.57,9.77,0.75,9.98,5.4,3.36,6.65,6.33,10.56,4.18,5.25,11.56,4.83,2.09,2.73,4,10.69,13.33,,,,,,,,,
December,,,,,,2.68,9.21,3.11,3.54,3.02,6.78,5.67,6.49,2.3,9.53,2.19,5.89,4.17,5.22,3.91,1.23,8.61,3.3,6.03,4.56,3.72,9.81,6.62,7.36,3.5,8.26,8.8,4.19,4.08,4.3,2.15,3.67,5.85,6.36,11.21,8.16,13.86,8.94,3.9,9.82,10.96,5,1.62,10.79,11.51,6.96,4.87,6.39,6.18,8.94,4.2,0.47,3.27,5.64,10.61,6.28,3.38,4.16,1.78,12.99,4.25,4.69,3.47,6.17,3.4,4.8,4.56,8.83,2.51,5.55,7.63,5.32,5.19,9.28,5.7,2.92,5.5,5.04,2.09,5.95,7.49,6.33,4.07,5.58,11.08,6.31,,,,,,,,,
Total,,,,,,56.5,54,55.97,46.4,53.21,48.53,54.84,64.76,51.8,52.28,53.46,57.12,36.11,45.58,36.84,46.24,61.35,38.5,44.46,54.35,40.9,42.34,57.6,45.33,41.77,54.86,43.96,40.54,61.81,50.38,39.18,57.72,53.23,49.53,56.27,60.9,59.49,76.18,63.99,66.26,62.09,62.3,48.9,66.7,51.02,71.96,43.59,52.43,56.73,58.25,55.22,48.65,56.78,64.19,57.89,57.5,53.59,54.3,39.57,48.44,54.09,46.39,42.63,56.15,54.32,47.49,40.44,50.3,50.96,54.67,54.16,62.23,42.8,64.82,44.99,60.09,59.84,51.84,51.74,76.52,49.52,42.72,54.69,58.95,57.64,69.86,,,,,,,,,
