"DAER (WHITEHOLM)",,,,,,,,,,,,
Grid ref,NS984036,Long,-3.602458,Lat,55.315950,,,,,,,
Station no,5025/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.09,11.20,5.30,8.20,7.00,5.80,10.60,10.20,4.25,8.20,,
February,7.80,4.60,3.13,8.20,3.80,2.30,6.11,8.65,3.25,10.15,,
March,6.20,6.00,1.30,5.75,3.70,3.75,6.85,2.75,7.65,3.30,,
April,6.65,4.25,4.10,1.90,3.90,1.50,4.90,2.70,6.60,8.55,,
May,2.60,3.00,4.80,6.60,5.60,4.45,3.95,5.40,2.10,3.30,,
June,1.90,4.50,3.45,6.55,5.00,6.20,1.95,4.60,4.80,5.10,,
July,5.52,4.50,10.75,6.80,3.00,8.00,7.20,6.80,6.95,5.95,,
August,11.60,5.25,5.10,6.80,2.20,8.95,7.75,5.55,2.25,7.00,,
September,9.50,3.50,7.15,10.75,6.45,7.30,5.65,8.65,2.40,5.35,,
October,1.00,7.60,7.40,16.40,5.10,5.25,7.90,6.59,9.25,6.70,,
November,16.00,4.32,9.60,14.95,4.70,3.60,3.40,3.20,13.95,13.80,,
December,12.28,7.50,8.00,9.60,10.25,11.25,9.07,7.65,13.65,8.30,,
Total,90.14,66.22,70.08,102.50,60.70,68.35,75.33,72.74,77.10,85.70,,
Calc annual,90.14,66.22,70.08,102.50,60.70,68.35,75.33,72.74,77.10,85.70,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,,
