BODFEAN-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH326380,Long,-4.4899,Lat,52.9135,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,
January,,,,,,2.87,7.08,5.78,4.39,7.32,4.84,4.25,8.89,6.83,4.06,7.21,2.55,8.18,3.43,2.45,1.39,1.21,4.33,6.23,4.53,3.36,4.33,5.54,2.36,1.93,,,,2.85,4.6,4.3,4.25,2.3,5.3,7.58,5.05,2.67,2.11,5.54,6.07,2.44,6.81,2.16,2.95,1.48,3.17,2.27,3.47,5.9,2.4,4.26,2.42,2.28,4.93,4.91,4.4,5.51,4.58,3.25,5.2,2.99,5.16,4.66,8.32,2.81,6.85,4.66,5.01,5.34,4.7,1.76,6.31,4.11,4.75,7.71,4.87,2.64,7.33,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,3.73,3.85,2.77,3.99,3.77,2.77,3.8,5.27,1.6,3.72,2.33,4.44,4.2,2.07,5.95,3.36,4.14,3.66,4.61,6.38,7.23,2.8,1.16,1.34,,,,,5,2.93,0.2,1.43,2.75,2.28,3.9,6.16,2.03,1.76,3.6,4.08,1.35,4.52,2.08,3.1,3.69,4.53,3.07,2.57,2.47,5.55,5.43,4.52,2.52,4.1,1.91,2.97,0.53,5.1,8.24,0.65,6.4,4.88,4.66,4.45,2.99,0.55,4.08,0.16,3.51,0.47,5.16,3.21,6.58,1.75,3.45,3.71,3.35,1.32,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.22,3.29,2.01,3.89,2.16,3.75,2.18,3.94,3.5,2.34,1.64,2.89,4.34,1.72,2.16,2.52,3.02,2.62,3.35,5.94,4.31,5.35,2.14,3.35,,,,,0.89,0.95,4.65,4.5,4.7,1.29,1.95,1.69,3.82,3.02,6.34,3.26,6.1,2.46,1.35,3.48,0.76,1.83,2.02,6.25,5.6,6.98,1.54,2.9,2.58,2.15,6.45,7.51,4.69,4.34,1.35,1.96,0.97,0.59,3.67,2.99,1.1,4.23,1.42,2.57,2.25,3.28,0.89,4.32,1.9,1.81,3.72,2.87,2.42,5.22,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.37,1.47,4.36,2.43,2.33,1.62,2.86,1.81,1.01,2.24,1.62,3.38,5.01,2.29,1.67,2.4,2.22,4.82,1.84,1.58,2.27,2.21,1.69,2.13,,,,1.3,0.95,3.5,3.1,1.3,3.7,3.35,3.52,2.02,2.61,1.79,1.98,2.37,3.16,1.54,2.33,2.6,3.94,4.45,2.69,0.35,5.49,0.58,2.44,2.16,2.26,1.64,2.19,3.63,1.62,2.62,3.53,3.92,2.5,2.27,1.16,1.42,0.84,2.49,3.07,3.15,2,1.79,3.25,1.37,3.39,0.16,1.65,2.68,1.5,2.17,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,4.43,1.71,2.78,1.71,4.79,2.42,1.04,2.42,2.24,1.3,2.18,0.57,4.28,4.29,3.31,1.43,2.92,2.33,2.45,2.19,2.07,4.02,1.96,2.03,,,,3.9,1.32,4.4,0.32,0.66,1.28,3.87,2.63,2.78,1.04,3.75,2.13,2.5,1.46,4.39,3.33,2.34,2.55,1.66,1.51,1.92,1.72,2.43,2.85,5.22,4.03,3.77,1.61,4.01,2.56,1.64,2.04,5.96,4.23,3.12,1.83,0.92,3.76,1.9,4.26,4.05,1.87,3.97,1.08,1.74,1.2,2.76,0.73,1.91,2.5,5.79,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.48,3.87,0.85,0.34,1.01,0.88,2.75,5.88,1.11,0.74,3.76,1.56,3.38,2.79,5.93,3.46,4.23,4.01,3.67,1.13,2.54,1.46,0.56,3,,,,2.7,2.5,2.3,0.75,1.55,3,2.62,3.08,2.86,2.62,3.09,2.12,1.82,2.4,1.48,5.14,3.16,3.84,3.75,4.51,6.99,3.98,1.85,1.74,2.38,2.32,2.37,2.94,2.7,0.75,2.15,1.16,3.47,0.05,2.73,5.1,6.53,2.18,1.95,4.81,1.87,2.14,1.99,4.31,4.9,2.43,4.88,2.27,0.82,0.62,0.13,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,2.16,0.6,3.09,1.03,1.14,0.79,3.94,2.39,2.87,2.16,3.77,3.29,6.49,1.08,5.39,5.32,3.72,5.6,2.42,4.08,2.72,4.53,2.78,5.85,,,,3.2,2.6,3.95,4.4,5.25,1.08,0.91,2.95,1.68,1.98,2.1,4.35,2.03,1.8,1.25,2.67,6.24,7.02,5.75,1.35,4.34,1.17,5.88,2.39,1.24,1.76,6.44,1.92,7.38,4.06,5.01,3.66,4.78,2.63,3.64,2.95,2.31,2.43,3.99,3.32,5.32,2.52,0.69,0.75,6.86,2.61,4.27,9.09,2.38,3.89,2.61,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,4.87,3.81,2.37,3.44,2.46,1.95,2.43,2.7,5.04,5.48,4.6,2.59,4.69,5.12,9.28,2.01,5.57,4.92,4.23,1.04,1.89,2.18,1.21,3.91,,,,6.1,3.77,2.42,2.85,3.5,4.05,4.93,0.94,5.31,4.85,3.84,6.13,4.51,5.7,6.5,3.64,4.8,2.03,10.19,6.92,7.16,1.23,3.2,1.61,1.97,9.86,2.24,3.66,4.52,7.42,3.33,5.3,4.68,4.23,4.57,7,4.89,4.73,4.91,4.36,1.57,3.18,5.85,1.35,2.79,1.68,1.39,3.8,0.32,3.33,4.74,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.76,8.92,3.62,3.55,11.73,2.76,3.15,7.08,2.4,4.79,4.99,,3.59,3.07,5.15,3.16,2.64,3.25,5.68,3.37,6.22,6.36,3.46,1.02,,,,5.6,3,0.5,0.54,6,4.1,3.81,3.03,1.74,3.63,2.46,5.83,3.75,1.68,0.9,0.7,3.42,4.22,0.13,6.54,0.79,2.1,2.2,1.83,3.51,3.43,9.09,3.7,4.8,1.44,4.95,5.64,5.56,3.48,1.85,5.52,1.78,2.12,4.56,3.8,3.74,1.57,5.96,7.27,4.34,3.56,2.56,1.04,3.52,1.38,3.5,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4.43,2.57,6.63,5.63,3.78,9.23,5.68,11.18,5.75,6.06,6.32,,7.19,4.61,1.41,4.28,3.42,5.05,5.06,2.89,5.45,6.99,4.12,6.64,,,,4.95,4.14,7,4.95,6.8,1.9,5.98,3.58,5.22,6.62,4.88,10.36,2.01,3.98,7.41,7.39,2.45,8.57,2.26,5.09,5.94,2.12,1.97,4.14,7.2,7.72,6.02,3.01,4.7,3.98,1.17,6.14,3.63,5.6,4.35,3.64,6.83,7.57,7.35,2.2,7.33,6.16,6.88,6.57,2.7,6.55,6.44,3.5,6.01,4.37,4.29,,,,,,,,,,,,,,,,,,,,,,,,
