"JURA (ARDFIN)",,,,,,,,,,,,
Grid ref,NR488636,Long,-6.009724,Lat,55.800181,,,,,,,
Station no,5444,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.51,6.90,2.40,7.95,4.37,5.73,8.21,4.36,3.43,2.73,,
February,3.47,3.56,2.61,5.47,4.29,1.61,3.22,5.20,1.37,2.63,,
March,3.35,3.64,2.27,5.36,2.17,2.14,5.87,1.47,2.29,2.42,,
April,3.27,2.52,2.95,1.70,4.25,2.01,1.64,2.05,3.02,0.60,,
May,1.65,1.58,3.64,3.65,3.38,2.72,2.49,1.75,0.50,2.16,,
June,2.90,3.32,1.99,4.87,3.74,3.89,2.43,3.46,1.90,1.03,,
July,5.29,3.62,5.09,5.53,0.26,6.02,4.64,3.91,2.37,3.49,,
August,5.01,5.69,5.09,4.05,1.08,7.77,4.24,5.81,0.59,3.65,,
September,3.85,3.99,7.93,8.93,5.72,3.36,5.40,2.26,1.18,2.67,,
October,4.46,6.03,4.75,8.58,4.87,3.64,3.33,3.63,4.21,1.55,,
November,10.99,3.17,7.63,9.23,2.32,3.58,1.69,1.56,3.54,3.63,,
December,10.37,6.28,5.24,9.18,7.51,6.15,4.82,4.48,4.62,1.98,,
Total,61.12,50.30,51.59,74.50,43.96,48.62,47.98,39.94,29.02,28.54,,
Calc annual,61.12,50.30,51.59,74.50,43.96,48.62,47.98,39.94,29.02,28.54,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
