"JURA, JURA HOUSE, ARDFIN",,,,,,,,,,,,
Grid ref,NR486636,Long,-6.012907,Lat,55.800077,,,,,,,
Station no,5444,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,-999.00,,,,3.48,4.96,6.22,,
February,,,,-999.00,,,,4.44,5.28,3.73,,
March,,,,-999.00,,,,5.46,5.33,2.25,,
April,,,,-999.00,,,,2.37,1.91,2.81,,
May,,,,-999.00,,,,6.63,2.48,2.42,,
June,,,,-999.00,,,,5.38,2.85,1.89,,
July,,,,-999.00,,,,3.83,3.56,5.31,,
August,,,,-999.00,,,,6.84,4.41,4.54,,
September,,,,-999.00,,,,1.70,6.61,2.49,,
October,,,,-999.00,,,,4.75,2.08,7.31,,
November,,,,-999.00,,,,5.27,5.02,3.82,,
December,,,,,,,,7.62,7.07,5.84,,
Total,,,,-999.00,,,,57.77,51.56,48.63,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.77,51.56,48.63,,
Difference,NaN,NaN,NaN,-999.00,NaN,NaN,NaN,0.00,0.00,0.00,,
