PITLOCHRY FASGANEOIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 944 577,Long,-3.724573,Lat,56.699589,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,6.79,1.46,6,1.64,0.9,2.06,0.14,3.75,4.74,6.25,3.39,3.86,2.13,2.65,1.65,7.05,2.69,1.89,2.41,5.37,,,1.13,1.85,
February,,,,,,1.35,3.63,3.08,1.02,1.34,5.33,2.16,3.3,6.78,4.13,4.57,1.33,3.05,0.3,2.58,1.02,0.71,1.73,4.15,7.49,,,2.47,3.3,
March,,,,,,1.83,4.74,1.95,1.34,5.92,2.97,1.53,4.63,3.28,4.52,2.01,2.45,1.4,2.13,1.66,3.47,4.16,0.56,0.93,2.35,,,5.47,0.78,
April,,,,,,1.27,2.45,3.41,1.09,1.49,2.8,0.47,2.43,1.8,1.93,2.36,1.89,1.19,2.17,3.32,1.46,2.46,0.48,2.09,1.07,,,2.09,4.05,
May,,,,,,1.38,0.73,1.88,3.94,2.46,1.02,2.2,2.16,1.29,2.07,3.66,2.86,0.68,3.79,5.31,2.28,2.55,2.76,0.99,1.85,,,1.6,1.74,
June,,,,,,2.73,3.3,5.24,2.53,4.25,2.05,2.63,3.39,2.93,0.81,0.96,1.39,0.71,2.78,1.03,3,0.95,2.17,2,2.61,,,5.21,1.79,
July,,,,,,2.65,1.96,2.31,0.73,2.3,4.63,3.25,4.56,6.56,5.62,1.37,3.75,1.88,5.48,2.01,3.3,3.75,2.22,2.79,3.28,,,1.83,1.01,
August,,,,,,2.77,3,2.92,5.35,5.96,0.79,3.04,2.45,3.42,3.98,3.91,1.34,2.71,1.88,6.89,2.53,4.88,4.28,4.37,4.15,,,5.62,2.79,
September,,,,,,3.79,3.38,2.42,,2.75,2.41,3.2,3.43,1.95,2.56,4.99,3.91,4.37,0.91,1.3,3.12,3.32,2.51,1.42,0.17,,,1.9,3.54,
October,,,,,,5.73,5.54,5.02,,1.95,0.72,6.88,3.28,3.9,3.58,2.29,2.94,1.26,3.38,3.24,3.7,4.71,3.93,3.26,1.95,,,2.66,4.6,
November,,,,,,3.44,2.98,5.87,1.92,1.25,4.24,6.61,5.15,5.16,3.16,3.45,3.13,2.72,6.91,1.63,5.69,4.37,3.32,2.2,3.25,,,3.02,4.74,
December,,,,,,4.69,7.31,3.47,1.7,2.67,2.16,1.69,3.97,3.59,5.28,2.56,2.8,1.87,2.74,2.8,0.9,4.84,1.45,3.65,2.4,,,4.74,5.7,
Total,,,,,,38.42,40.48,43.57,,33.24,31.18,33.8,42.5,45.4,43.89,35.52,31.65,23.97,35.12,33.42,37.52,39.39,27.3,30.26,35.94,,,37.74,35.89,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 1878 deleted Bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals 1895 & 6 deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
