BOURTON-SHROPSHIRE,,,,,,,,,,
Grid ref,SO596963,Long,-2.5974107,Lat,52.563022,Elevation,635,ft.,,
Station no,2280/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.96
February,,,,,,,,,,2.73
March,,,,,,,,,,1.76
April,,,,,,,,,,1.75
May,,,,,,,,,,1.99
June,,,,,,,,,,2.19
July,,,,,,,,,,3.55
August,,,,,,,,,0.8,3.74
September,,,,,,,,,0.08,5.53
October,,,,,,,,,2.84,7.53
November,,,,,,,,,3.47,5.18
December,,,,,,,,,6.04,4.14
Total,,,,,,,,,,46.05
,,,,,,,,,,
NGR is from 1950s record which is in Bourton. Altitudes match.,,,,,,,,,,
MIDAS src_id 10068 ends 1974,,,,,,,,,,
