MOSTYN-IRON-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ154810,Long,-3.2714482,Lat,53.319142,Elevation,20,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4280/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.91,1.8,5.03,2.27,3.65,4.79,2.26,2.91,3.3,3.7,3.3,1.81,3.04,2.88,6.27,3.09,0.89,,3.43,1.15,1.85,,,,,,
February,,,,0.17,3.05,2.18,5.14,0.51,2.11,2.68,2.2,1.36,2.4,0.93,2.23,4.46,0.72,1.75,1.08,5.57,,1.45,1.83,2.69,,,,,,
March,,,,1.88,0.85,2.29,2.19,1.05,1.78,2.64,2.77,2.14,0.78,0.8,0.61,0.96,3.78,0.53,2.15,0.91,,1.28,1.3,2.11,,,,,,
April,,,,2.02,2.51,1.1,3.63,0.21,2.38,2.69,1.8,1.34,1.06,1.23,1.6,0.77,2.41,2.06,2.25,2.72,,1.47,2.51,1.03,,,,,,
May,,,,2.25,1.68,1.67,2.12,1.99,1.34,2.96,1.73,3.79,2.05,1.46,4.12,1.99,3.11,1.38,2.23,0.81,,2.21,3.27,2.7,,,,,,
June,,,,1.58,4.19,4.22,1.32,3.8,2.13,1.47,0.29,0.4,1.66,1.1,1.95,3,2.87,3.09,0.53,1.76,,1.76,2,4.05,,,,,,
July,,,,2.29,1.3,3.12,2.2,3.52,6.41,4.81,2.11,2.88,1.02,2.2,2.19,3.14,4.1,2.75,2.27,1.77,,1.34,1.95,3.83,,,,,,
August,,,,2.84,1.71,1.37,2.27,4.73,1.94,0.7,2.92,2.33,2.63,2.05,0.89,3.57,0.38,2.97,2.31,4.8,,1.56,2.71,,,,,,,
September,,,,2.12,5.79,3.48,2.28,2.2,0.7,3.24,0.52,2.27,4.26,4.5,1.01,3,2.78,2.15,0.81,3.72,,3.87,3.39,,,,,,,
October,,,,4.34,4.56,1.61,2.55,3.8,2.26,3.72,3.11,3.48,3.67,4.47,4.63,0.82,0.97,2.07,3.89,2.72,,4,1.68,,,,,,,
November,,,,2.53,3.78,3.04,1.36,3.41,4.59,5.1,2.32,1.12,2.99,5.66,0.23,3.91,4.09,1.73,3.94,3.72,,2.29,3.29,,,,,,,
December,,,,3.85,2.99,3.43,2.54,3.61,2.79,2.26,1.04,3.14,1.55,2.22,2.57,3.75,3.17,3.59,5.61,3.2,,3.83,0.88,,,,,,,
Total,,,,27.78,34.21,32.54,29.87,32.48,33.22,34.53,23.72,27.55,27.77,29.92,23.84,32.41,31.26,30.34,30.16,32.59,,28.49,25.96,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is origianl position of gauge 360 yards NNW from 1950s NGR. Altitudes probably match, gauge mounted 10 ft above ground level. Gauge moved 360 yards SSE in August 1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
