NORTHWOOD-TANDRIDGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ097914,Long,-0.41715237,Lat,51.610754,Elevation,270,ft.,,,,,,,,,,,,,
Station no,867,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.47,2.88,1.94,2.94,1.79,4.05,0.86,2.51,1.28,1.89,1.71,1.53,0.85,3.95,3.62,3.36,,
February,,,,3,0.55,3.16,2.65,3.33,1.85,0.83,0.79,1.64,0.14,1.78,0.14,2.16,2.09,4.18,0.55,,
March,,,,2.39,0.95,0.81,0.39,2.77,1.43,0.06,0.8,0.33,1.44,2.63,2.35,0.45,1.06,2.99,0.45,,
April,,,,1.46,3.09,1.54,2.97,1.81,1.46,1.11,1.81,3.2,2.22,1.07,1.74,3.04,1.48,2.62,0.13,,
May,,,,1.89,3.62,2.15,2.44,1.36,1.64,2.07,2.43,2.42,4.38,1.69,0.61,1.14,0.66,2.85,1.58,,
June,,,,0.31,3.06,0.02,3.12,2.41,2.68,1.3,1.6,1.16,0.22,1.7,0.89,3.79,3.86,1.56,0.54,,
July,,,,3.01,3.49,4.42,2.47,3.83,1.82,2.32,2.1,3.71,3.9,1,1.81,0.72,3.73,0.84,1.22,,
August,,,,2.12,2.76,2.89,1,4.26,2.69,1.36,3.93,4.66,2.4,0.37,2.19,1.4,0.72,1.16,4.38,,
September,,,,1.67,2.79,3.2,2.11,5.13,1.24,0.29,3.02,2.16,2.14,2.58,1.56,4.25,2.79,2.04,1.72,,
October,,,,5.95,3.78,2.88,2.52,2.02,3.99,3.5,0.99,0.71,4.89,1.38,1.15,2.32,1.33,2.23,2.93,,
November,,,,1.51,2.38,1.67,4.64,3.66,2.7,5.9,3.83,2.77,1.41,1.1,1.62,4.64,4.15,1.36,3.16,,
December,,,,2.77,3.14,2.36,0.58,2.42,2.63,4.88,2.33,1.02,0.83,0.45,5.23,2.86,1.48,3.73,2.8,,
Total,,,,27.55,32.49,27.04,27.83,34.79,28.18,24.48,26.14,25.06,25.86,17.46,20.82,27.62,27.3,29.18,22.82,,
,,,,,,,,,,,,,,,,,,,,,
NGR is based on a set of confusing relationships to the church and station.,,,,,,,,,,,,,,,,,,,,,
There is no altitude stated on the record and cannot locate Tandridge. NGR could be +/- 300m,,,,,,,,,,,,,,,,,,,,,
