NEWBURY-WESTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU399736,Long,-1.4270858,Lat,51.459976,Elevation,335,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,3.15,,,,1.01,1.06,3.37,1.9,0.88,2.05,2.59,3.13,0.78,2.2,0.6,3.8,2.75,1.63,0.91,2.88,4.17,0.49,4.29,0.63,1.49,0.84,2.46,1.01,3.84,,,,,,,
February,,,,,2.01,,,,0.96,2.49,0.93,0.12,1.36,4.63,2.23,0.09,0.34,2.75,1.91,2.75,4.27,1.3,1.2,1.53,3.11,0.69,1.97,1.28,1.18,0.58,3.36,1.89,2.39,,,,,,,
March,,,,,1.86,,,,3.8,2.51,1.36,2.48,0.79,0.21,1.77,1.94,3.04,4.21,0.92,0.53,1.06,1.95,1.76,3.74,1.4,4.25,1.62,0.98,3.84,3.2,1.1,1.96,4.33,,,,,,,
April,,,,,1.96,,,,2.77,2.75,2,0.99,0.98,0.02,2.35,1.69,0.64,1.71,1.88,2.85,0.93,2.25,1.43,2.72,1.16,2,0.9,3.08,3.65,1.55,2.19,1.15,,,,,,,,
May,,,,,1.09,,,,1.55,3.1,2.07,2.93,1.71,1.15,3,0.63,0.39,0.95,3.33,2.45,1.39,1.16,2.77,3.28,3.27,0.59,1.56,1.93,2.06,1.45,1.86,1.18,,,,,,,,
June,,,,,3.18,,,,2.49,1.92,2.35,0.97,1.78,0.97,2.96,0.43,2.18,2.24,1.6,1.67,3.32,1.63,2.82,5.51,0.88,4.33,2.83,3.53,0.81,3,4.85,1.6,,,,,,,,
July,,,,,1.71,,,,5.63,4.18,3.99,3.57,2.94,3.48,4.08,3.78,0.82,1.01,0.64,0.23,1.22,3,0.86,3.29,2.22,0.94,0.55,2.11,2.02,2.17,1.93,0.02,,,,,,,,
August,,,,,1.18,,,,2.57,2.62,3.27,6.11,4.26,1.46,2.2,2.5,3.11,2.65,0.9,1.34,2.83,2,2.92,3.66,2.84,3.05,1.03,1.81,3.42,2.81,2.34,0.73,,,,,,,,
September,,,,,1.43,,,,1.64,1.39,1.9,2.07,3.32,1.16,2.78,1.34,5.62,3.66,0.72,2.29,0.62,2.21,1.56,2.07,1.63,1.43,0.88,0.58,2.68,3.38,0.32,0.88,,,,,,,,
October,,,,,1.21,,,,1.68,3.06,1.35,8.23,3.81,3.47,3.81,3.58,3.17,1.06,5.26,2.22,2.11,1.28,1.86,7.58,1.35,1.89,4.5,6.02,1.12,4.55,4.12,2.32,,,,,,,,
November,,,,,1.24,,,,5.56,1.25,2.13,3.25,2.18,2.4,5.97,4.81,0.89,0.8,3.36,2.97,2.25,0.74,3.07,1.9,1.96,3.47,4.3,2.29,1.05,0.64,3.84,3.39,,,,,,,,
December,,,,,2.4,,,,2.52,1.86,0.75,5.78,1.13,3.1,2.63,2.03,3.87,3.94,2.55,1.44,4.07,4.68,1.74,1.78,2.42,0.95,2.11,4.45,2.15,4.23,5.02,6.59,,,,,,,,
Total,,,,,22.42,,,,32.18,28.19,25.47,38.4,25.14,24.1,36.37,25.95,24.85,27.18,23.67,24.54,26.82,23.83,22.9,39.94,26.41,24.08,26.54,28.69,25.47,28.4,33.39,22.72,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the centre of the village Weston. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
