"POOLEY BRIDGE (BOWERBANK)",,,,,,,,,,,,
Grid ref,NY474247,Long,-2.815994,Lat,54.614700,,,,,,,
Station no,3691/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.14,4.56,1.05,3.36,2.68,3.28,5.70,4.71,3.14,5.37,,
February,5.44,0.75,1.11,3.42,1.53,0.90,4.19,5.35,0.63,4.29,,
March,3.97,1.78,0.48,3.10,1.10,2.04,2.43,0.85,3.02,1.58,,
April,2.55,2.37,3.46,0.79,0.63,1.03,0.38,1.13,4.01,3.39,,
May,1.91,2.52,2.38,4.31,3.57,1.45,2.34,5.02,1.69,1.65,,
June,0.98,2.18,1.95,3.06,2.50,2.57,1.01,4.96,4.57,1.73,,
July,2.97,1.82,3.44,2.29,1.44,4.18,3.64,3.53,2.57,4.09,,
August,3.62,5.33,4.61,4.28,2.68,7.69,4.87,2.90,0.83,3.03,,
September,4.91,4.28,5.87,6.42,2.59,4.24,4.29,5.20,0.96,2.61,,
October,0.77,5.96,3.17,9.09,3.20,2.77,4.23,4.32,4.82,3.92,,
November,10.95,2.13,5.14,11.38,2.46,1.87,1.42,0.57,5.94,7.99,,
December,8.78,3.86,2.45,5.57,5.74,6.18,5.70,4.28,7.44,4.95,,
Total,50.99,37.54,35.11,57.07,30.12,38.20,40.20,42.82,39.62,44.60,,
Calc annual,50.99,37.54,35.11,57.07,30.12,38.20,40.20,42.82,39.62,44.60,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
