"GREENOCK W.W. (KELLY DAM)",,,,,,,,,,,,
Grid ref,NS221684,Long,-4.845244,Lat,55.875817,,,,,,,
Station no,5305,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.00,6.10,4.70,8.20,5.00,4.40,7.50,7.80,2.40,5.70,,
February,4.00,3.00,3.70,6.10,4.20,2.90,4.20,4.80,2.50,6.30,,
March,5.10,5.00,1.60,4.30,2.40,3.20,6.40,2.20,4.20,3.70,,
April,3.60,2.80,3.10,3.90,6.30,2.20,3.60,2.50,4.60,6.50,,
May,2.20,2.50,2.90,3.80,5.50,4.30,2.50,4.90,1.40,3.20,,
June,2.20,4.10,1.40,5.70,5.70,4.00,3.00,4.00,3.60,3.80,,
July,4.40,3.70,7.90,5.00,2.00,5.70,6.30,6.30,8.40,5.60,,
August,5.70,6.20,6.50,6.20,1.50,5.50,6.10,5.70,1.90,4.50,,
September,5.00,3.90,8.00,8.70,7.40,5.50,4.10,5.40,2.20,4.80,,
October,2.20,8.00,5.30,12.50,6.70,3.40,7.00,5.40,6.50,5.00,,
November,10.20,2.70,10.60,11.60,4.10,3.70,3.60,2.80,8.30,8.90,,
December,10.00,6.70,6.50,7.40,9.80,7.80,8.00,7.90,13.00,7.60,,
Total,60.60,54.70,62.20,83.40,60.60,52.60,62.30,59.70,59.00,65.60,,
Calc annual,60.60,54.70,62.20,83.40,60.60,52.60,62.30,59.70,59.00,65.60,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
