MILLPORT (ST. ANDREW'S HOME),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS166551,Long,-4.924062,Lat,55.754411,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5383/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.15,6.07,4.68,5.62,3.36,4.75,6.06,7.64,4.57,2.6,1.07,7.16,4.52,4.77,4.02,6.29,5.74,7.61,4.9,3.35,4.88,5.74,,,,,,,,
February,3.95,0.03,3.28,0.46,5.32,2.5,5.94,3.14,5.32,1.2,3.59,1.99,4.63,1.67,6.31,3.34,0.5,4.58,5.22,4.28,3.03,1.65,,,,,,,,
March,1.2,2.43,2.17,2.55,2.58,3.7,1.66,3.23,4.52,3.94,2.83,3.88,2.06,0.79,3.04,2.28,4.25,3.59,3.26,2.77,3.51,3.88,,,,,,,,
April,1.83,3.64,2.18,3.64,3.2,1.51,2.6,0.31,2.78,2.27,1.66,2.62,3.77,2.61,2.52,2.19,5.62,2.96,5.61,3.44,2.47,2.17,,,,,,,,
May,3.99,2.28,2.57,3.01,0.88,3.16,1.76,3.91,1.42,1.33,2.63,3.31,3.64,2.93,3.52,0.89,4.69,1.82,2.42,1.35,2.02,1.9,,,,,,,,
June,4.54,1.87,2.49,2.38,3.26,1.78,3.58,5.45,2.69,1.05,1.54,2.3,3.89,3.1,3.6,2.77,3.76,4.45,1.4,2.09,1.86,2.75,,,,,,,,
July,4.05,3.82,3.9,2.85,2.26,6.69,5.23,4.83,5.73,4.04,2.76,4.45,2.52,3.7,2.8,3.88,3.75,3.6,1.53,5.84,3.52,3.19,,,,,,,,
August,1.14,3.75,3.74,3.57,1.78,3.33,3.54,2.99,2.25,1.95,4.8,5.59,6.99,3.24,1.97,2.5,0.01,6.51,4.91,4.94,3.82,5.08,,,,,,,,
September,1.53,4.24,0.75,5.89,5.72,4.45,2.93,5.31,3.34,4.84,1.9,6.23,3.27,5.68,5.23,6.36,4.47,7.14,2.2,9.61,3.82,3.69,,,,,,,,
October,3.87,6.07,3.43,7.27,9.71,4.79,2.67,9.76,3.42,5.78,4.45,5.13,8.01,5.96,5.32,0.35,2.14,7.49,7.47,4.05,1.3,5.96,,,,,,,,
November,8.46,4.16,3.54,1.28,5.09,4,0.96,8.54,8.15,7.23,4.15,0.79,3.84,6.43,0.44,6.38,5.67,4.1,6.48,4.19,7.38,3.04,,,,,,,,
December,4.42,7.74,1.81,8.81,3.75,6.82,2.88,4.06,3.67,6.96,2.24,6.09,2.51,5.28,5.33,6.01,2.88,7.92,7.31,1.9,7.96,5.31,,,,,,,,
Total,44.13,46.1,34.54,47.33,46.91,47.48,39.81,59.17,47.86,43.19,33.62,49.54,49.65,46.16,44.1,43.24,43.48,61.77,52.71,47.81,45.57,44.36,,,,,,,,
