MASHAM MOOR - LOW ASH HEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE140763,Long,-1.787,Lat,54.182,Elevation,845,ft,,,,,,,,,,,,,,,,,,,
Station no,3407/8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.01,6.50,5.80,7.27,7.62,2.94,5.96,7.52,6.52,4.65,5.55,4.75,4.50,10.40,2.22,1.65,4.14,3.77,0.90,4.15,3.82,5.08,5.72,5.63,5.46,6.58
February,,7.20,4.35,7.00,2.10,3.90,2.49,8.27,0.93,3.23,2.45,5.17,3.73,6.00,2.95,3.68,5.57,5.03,1.53,2.65,4.92,3.11,3.42,4.10,7.58,0.44,6.27
March,,1.30,2.50,4.43,0.75,3.31,2.42,3.47,3.34,2.12,0.41,2.55,1.90,7.12,2.68,1.50,2.34,5.03,2.95,0.73,4.53,2.70,1.68,2.48,3.90,2.90,3.67
April,,3.80,1.85,3.80,0.33,1.90,2.78,3.07,1.76,2.24,2.60,1.35,2.25,6.55,3.04,4.81,3.88,3.20,2.10,3.40,0.70,1.27,2.37,0.48,0.88,5.10,2.24
May,,1.10,2.60,3.15,3.23,1.30,1.93,2.12,2.92,3.72,1.65,1.75,3.58,3.28,0.84,1.71,1.92,7.55,1.35,3.43,4.81,3.61,0.98,1.80,7.23,1.60,1.64
June,,3.40,5.80,1.65,4.37,2.74,0.38,0.72,0.95,2.18,2.48,4.20,2.82,3.82,4.30,0.64,1.84,1.12,1.67,3.42,2.80,2.95,3.48,1.92,4.90,1.97,1.67
July,,0.90,3.20,2.95,3.85,4.13,4.50,1.68,3.13,2.60,2.38,2.50,3.08,1.88,1.22,2.47,3.24,1.57,1.13,4.20,3.01,1.40,6.13,3.66,4.75,2.50,5.40
August,,2.50,2.60,1.80,5.48,2.49,0.58,2.71,3.55,3.75,2.05,2.60,6.79,0.74,4.78,2.60,5.79,6.26,3.87,4.00,7.05,1.77,8.42,6.82,5.00,1.03,4.23
September,,6.70,2.60,1.85,2.29,1.79,2.59,0.16,2.11,5.52,6.23,2.55,7.28,2.58,2.72,1.69,6.34,2.43,5.00,3.83,4.98,2.17,4.64,4.78,4.58,0.65,3.51
October,,7.20,3.45,3.00,10.47,3.80,4.90,5.13,3.75,2.88,5.28,7.45,2.57,1.86,1.41,4.98,1.92,1.85,5.33,3.32,8.43,2.89,2.82,5.35,4.34,5.58,9.28
November,3.30,7.23,4.10,2.40,6.50,6.56,6.58,3.68,1.40,2.69,8.60,1.00,8.84,4.79,1.75,6.04,6.00,11.40,2.62,2.88,8.87,3.41,0.95,3.02,1.47,7.13,6.00
December,7.30,2.85,5.50,4.36,5.38,2.50,3.24,2.18,4.20,2.33,4.70,3.04,3.95,3.65,4.94,7.72,2.21,8.40,3.05,2.65,5.17,5.84,5.57,5.02,6.10,10.37,6.25
Total,,46.19,45.05,42.19,52.02,42.04,35.33,39.15,35.56,39.78,43.48,39.71,51.54,46.77,41.03,40.06,42.70,57.98,34.37,35.41,59.42,34.94,45.54,45.15,56.36,44.73,56.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/283,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/142,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/234,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for February 1947 is estimated for snow and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1976 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,
