ARDGOUR (INVERSANDA),,,,,,,,,,,,
Grid ref,NM940595,Long,-5.364691,Lat,56.681711,,,,,,,
Station no,5395/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,13.69,11.48,10.32,11.63,6.23,8.65,18.26,10.91,3.18,7.31,,
February,7.35,6.49,10.13,6.31,5.72,5.61,5.17,4.51,7.05,6.50,,
March,4.33,9.87,4.12,7.93,2.27,4.45,10.32,1.73,6.99,1.94,,
April,8.37,4.87,5.29,3.80,9.36,4.05,6.32,5.32,8.70,7.83,,
May,0.57,2.43,5.40,3.94,6.88,8.90,2.58,6.65,3.59,3.42,,
June,3.95,6.84,1.48,8.89,7.49,4.80,4.64,2.11,7.35,4.48,,
July,10.20,7.10,11.27,7.86,1.98,7.59,8.71,3.18,7.97,-999.00,,
August,7.42,7.11,10.20,7.20,2.57,6.38,8.69,,5.93,5.82,,
September,9.00,9.55,14.12,16.15,13.34,8.42,6.70,,5.59,5.86,,
October,5.11,11.30,7.78,18.31,9.34,10.11,17.41,,12.89,1.66,,
November,9.59,5.52,18.56,15.85,4.77,11.16,4.38,,14.66,-999.00,,
December,18.97,11.57,12.87,19.95,12.69,17.41,15.74,,17.88,11.68,,
Total,98.55,94.13,111.54,127.82,82.64,97.53,108.92,,101.78,-999.00,,
Calc annual,98.55,94.13,111.54,127.82,82.64,97.53,108.92,34.41,101.78,56.50,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,0.00,-1055.50,,
