TORVER (GREYSTONES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD287933,Long,-3.0979164,Lat,54.330264,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3026/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,3.84,11.59,7.13,7.31,5.01,9.68,3.63,8.2,7.86,9.61,9.06,4.19,2.8,8.7,12.18,9.36,6.76,10.65,7.11,,,
February,,,,,,,,,,2.78,0.85,9.59,0.08,7.73,0.7,11.24,3.08,10.95,3.85,8.18,2.86,6.06,2.98,4.88,3.89,7.85,6.84,1.84,,,
March,,,,,,,,,,1.93,4.22,0.84,5.89,5.01,5.54,2.14,4.87,3.08,4.74,4.56,8.68,5.07,5.85,2.17,1.13,4.98,3.85,10.07,,,
April,,,,,,,,,,3.61,3.26,3.79,4.51,3.48,4.98,6.65,1.41,4.86,1.73,4.22,3.72,2.24,2.89,4.23,5.13,3.67,2.12,5.99,,,
May,,,,,,,,,,3.77,2.91,3.97,6.54,3.93,2.09,1.06,2.25,2.47,6.3,1.29,1.43,5.65,4.87,7.48,3.95,4.77,1.6,4.93,,,
June,,,,,,,,,,2.86,2.83,8.26,1.99,3.54,3.09,6.32,5.84,4.08,8,4.15,1.32,0.94,1.6,5.34,7.47,5.77,5.82,4.33,,,
July,,,,,,,,,,7.13,4.66,8.72,7.45,5.11,2.93,3.19,6.32,4.82,10.3,10.02,6.67,2.21,6.15,5.85,4.07,6.16,6.64,4.97,,,
August,,,,,,,,,,8.89,10.64,4.91,1.52,5.24,7.09,5.15,5.89,3.01,5.23,2.44,3.21,8.38,7.28,11.78,6.94,2.19,7.41,0.22,,,
September,,,,,,,,,,4.1,4.16,2.54,8.79,1.18,7.92,11.33,8.82,5.85,4.75,3.5,6.9,2.73,8.14,8.67,9.71,7.08,12.14,4.62,,,
October,,,,,,,,,,10.58,12.59,5.94,11.6,5.68,12.37,12.34,6.67,3.89,15.73,2.63,7.69,9.85,11.02,8.69,8.32,8.99,0.68,1.58,,,
November,,,,,,,,,,14.49,8.66,12.05,5.4,3.67,2.08,7.58,9.02,2.8,9.92,9.86,8.15,4.97,2.49,6.03,12.21,0.57,12.03,11.26,,,
December,,,,,,,,,,11.75,7.31,7.07,10.24,2,10.79,6.93,9.49,7.1,8.24,4.17,10.21,5.15,10.03,3.85,8.39,5.33,9.85,5.12,,,
Total,,,,,,,,,,75.73,73.68,74.81,71.32,51.58,69.26,77.56,71.86,60.77,88.4,64.08,65.03,56.05,72,81.15,80.57,64.12,79.63,62.04,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 1932 edited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
