ST ANNES ON SEA LAWRENCE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD333288,Long,-3.0125177,Lat,53.751571,Elevation,25,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2953/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,1.63,4.03,1.36,1.89,3.01,4.09,3.04,4.57,3.17,2.13,2.97,1.95,3.18,3.73,6.46,1.27,,3.54,4.07,2.3,,,,,,,
February,,,,,2.13,3.69,2.67,1.21,3.12,1.21,2.06,0.36,3.35,2.94,0.75,4.01,2.92,1.19,3.47,0.78,,2.77,0.05,2.44,,,,,,,
March,,,,,3.58,1.39,1.85,2.61,1.15,4.44,3.65,2.58,1.39,1.2,1.21,1.18,1.31,3.03,2.05,0.95,,0.94,2.01,2.16,,,,,,,
April,,,,,0.76,2.18,2.2,1.68,0.86,1.36,4.73,1.38,1.67,2.55,1.7,1.77,1.02,1.45,1.25,1.07,,2.6,2.15,1.61,,,,,,,
May,,,,,1.93,1.29,2.59,2.48,3.31,1.14,3.43,1.55,2.09,2.37,4.86,3.69,2.67,1.58,1.11,1.75,,1.79,4.47,1.82,,,,,,,
June,,,,,0.62,1.61,1.44,2.27,1.35,1.59,3.43,1.02,1.89,0.51,2.57,0.11,2.1,2.54,5.76,1.2,,7.27,0.89,1.47,,,,,,,
July,,,,,5.85,4.08,1.03,1.08,3.8,1.38,4.68,1.86,5.16,3.33,4.37,3.26,3.8,2.59,2.31,2.09,,2.38,5.01,,,,,,,,
August,,,,,1.56,5.08,3.37,5.92,3.06,3.78,1.54,4.96,7.17,5.14,4.66,3.18,3.54,6.76,3.12,3.96,,4.93,1.61,,,,,,,,
September,,,,,2.88,0.38,2.5,2.5,8.4,2.02,2.56,1.4,2.86,3.81,5.23,4.21,4.54,5.78,1.36,2.2,,2.86,4.61,,,,,,,,
October,,,,,1.7,1.8,4.99,6.29,2.76,3.2,1.24,2.22,0.65,4.76,3.9,5.01,2.91,3.15,6.04,5.27,,2.6,5.56,,,,,,,,
November,,,,,3.95,2.01,2.5,3.03,2.03,1.99,1.21,2.3,2.03,4.65,1.12,2.6,5.61,4.52,6.29,6.17,,6.68,2.46,,,,,,,,
December,,,,,4.58,6.64,2.24,1.62,6.52,4.89,2.28,3.87,4,4.13,3.93,2.08,1.16,1.21,2.27,5.32,,2.01,1.8,,,,,,,,
Total,,,,,31.17,34.18,28.74,32.58,39.37,31.09,33.85,28.07,35.43,37.52,37.27,33.05,34.76,37.53,41.49,32.03,,40.37,34.69,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrected transcription errors for March 1914 and March 1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR and elevation verified to OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
