BUBWITH GUNBY,,,,,,,,,,,,
Grid ref,SE709354,Long,-0.925,Lat,53.810,Elevation,23,ft,,,,
Station no,RR1751,,,,,,,,,,,
,,,,,,,,,,,,
,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863
January,2.57,,1.95,0.40,2.00,2.37,0.37,0.60,,0.75,,2.99
February,0.85,,0.61,2.20,1.65,0.56,0.55,1.25,,1.72,,0.40
March,0.40,,0.75,1.32,0.30,1.65,1.83,1.42,,1.73,,0.95
April,0.11,,0.58,0.36,1.40,2.82,1.05,2.32,,0.85,,0.54
May,0.88,,2.52,1.38,2.91,0.76,2.13,0.36,,1.12,,0.71
June,4.49,,1.75,1.68,2.28,2.34,1.60,2.11,,1.93,,2.43
July,1.99,,5.04,2.62,2.42,2.71,2.78,3.04,,3.96,,2.18
August,2.84,,0.78,1.96,4.04,6.95,2.28,3.17,,0.57,,5.07
September,3.55,,1.24,0.20,2.85,1.80,2.42,2.50,,2.80,,1.99
October,2.96,,0.84,3.43,1.30,1.29,2.39,1.41,,0.95,,2.76
November,4.62,,2.30,0.97,1.60,1.25,1.37,1.10,,2.40,,2.39
December,2.28,,1.38,0.86,1.66,0.29,1.47,2.00,,0.06,,
Total,27.54,,19.74,17.38,24.41,24.79,20.24,21.28,,18.84,,
,,,,,,,,,,,,
TYRain_1850-1859_F_pt1/208,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/156,,,,,,,,,,,,
,,,,,,,,,,,,
# There are question marks against some readings: September and December 1859; December 1861.,,,,,,,,,,,,
