HALIFAX,,,,,,,,,,
Grid ref,SE090251,Long,-1.8650877,Lat,53.722231,Elevation,500,ft.,,
Station no,RR4474,,,,,,,,,
,,,,,,,,,,
,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729
January,,,,,,,5.87,5.33,,
February,,,,,,,3.41,5.76,,
March,,,,,,1.35,1.74,3,,
April,,,,,,4.39,1.31,2.39,,
May,,,,,,5.08,1.98,6.96,,
June,,,,,,7.81,4.2,7.25,,
July,,,,,,4.19,6.47,4.04,,
August,,,,,,7.03,1.46,0.21,,
September,,,,,,5.23,7.9,7.87,,
October,,,,,,3.46,6.49,8.83,,
November,,,,,,2.27,4.34,1.84,,
December,,,,,,6.03,4.19,4.78,,
Total,,,,,,,49.36,58.26,,
,,,,,,,,,,
"NGR is centre of Halifax, NGR could be +/- 1km, or more.",,,,,,,,,,
The observer is Dr Thomas Nettleton who carried out early work on smallpox vaccinations but cannot locate him,,,,,,,,,,
