SUNDERLAND (HENDON GAS WORKS),,,,,,,,,,
Grid ref,NZ408554,Long,-1.3654415,Lat,54.891682,Elevation,70,ft,,
Station no,3548/7,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.3,3.54,2.67,1.86,,
February,,,,,2.52,2.23,3.13,0.89,,
March,,,,,0.59,1.87,3.25,0.21,,
April,,,,,2.51,1.49,2.42,0.21,,
May,,,,,0.98,1.78,2.73,2.91,,
June,,,,,2.14,2.65,1.87,2.66,,
July,,,,,0.38,2.62,3.06,2.66,,
August,,,,,1.67,3.19,1.83,1.5,,
September,,,,,5.01,2.51,1.62,2.14,,
October,,,,,3.15,1.37,1.95,3.15,,
November,,,,,2.98,2.42,1.92,2.44,,
December,,,,,2.22,1.62,5.03,2.83,,
Total,,,,,26.45,27.29,31.48,23.46,,
,,,,,,,,,,
1935 arithmetic,,,,,,,,,,
