CARBURTON (PUMPING STATION),,,,,,,,,,,,
Grid ref,SK594722,Long,-1.111350,Lat,53.243509,,,,,,,
Station no,2628/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.12,2.01,4.45,,
February,,,,,,,,2.96,0.12,2.41,,
March,,,,,,,,1.68,1.21,1.77,,
April,,,,,,,,0.46,2.69,0.82,,
May,,,,,,,,2.10,0.86,1.28,,
June,,,,,,,1.48,5.52,1.22,0.81,,
July,,,,,,,4.28,4.79,1.07,2.60,,
August,,,,,,,3.01,3.13,0.73,3.15,,
September,,,,,,,4.30,1.93,0.02,3.99,,
October,,,,,,,1.03,1.76,2.27,6.03,,
November,,,,,,,2.68,0.67,2.98,3.41,,
December,,,,,,,1.53,3.22,3.35,2.30,,
Total,,,,,,,,30.34,18.53,33.02,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,18.31,30.34,18.53,33.02,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
