SHEPHERDSWELL-MONTBELIARD,,,,,,,,,,,
Grid ref,TR266483,Long,1.2414019,Lat,51.188979,Elevation,350,ft,,,
Station no,RR8346,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.44,2.74,3.82,2.66,4.49,1.52,
February,,,,,0.82,4.73,2.82,4.39,1.3,0.96,
March,,,,,1.73,1.6,0.41,3.28,1.84,0.25,
April,,,,,2.89,2.8,3.9,1.93,3.42,1.08,
May,,,,,3.6,2.8,1.52,0.58,2.95,1.51,
June,,,,,1.35,0.91,4.04,3.99,2.17,1.73,
July,,,,0.8,4.09,3.57,1.26,6.85,0.99,1.13,
August,,,,1.27,2.6,1.75,1.84,4.15,1.91,2.59,
September,,,,1.24,3.33,3.15,0.64,3.44,1.1,0.52,
October,,,,5.6,5.33,3.75,5.26,2.14,6.12,4.01,
November,,,,2.44,2.66,4.82,6.56,3.4,5.83,7.15,
December,,,,3.66,4.9,4.06,1.23,6.04,3.82,9.04,
Total,,,,,35.74,36.68,33.3,42.85,35.94,31.49,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1923 Jul Gauge moved,,,,,,,,,,,
1925 Jun IDR,,,,,,,,,,,
1928 Nov IDR,,,,,,,,,,,
