SHEPHERDSWELL-MONTBELIARD,,,,,,,,,,,
Grid ref,TR262486,Long,1.2358763,Lat,51.191831,Elevation,285,ft,,,
Station no,RR8346,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,
February,,,,,,,,,,,
March,,,,1.71,,,,,,,
April,,,,1.9,,,,,,,
May,,,,3.89,,,,,,,
June,,,,0.72,,,,,,,
July,,,,,,,,,,,
August,,,,,,,,,,,
September,,,,,,,,,,,
October,,,,,,,,,,,
November,,,,,,,,,,,
December,,,,,,,,,,,
Total,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1923 Jul Gauge moved,,,,,,,,,,,
