BALMACARA HOUSE,,,,,,,,,,,,
Grid ref,NG800276,Long,-5.652118,Lat,57.285870,,,,,,,
Station no,5788/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,4.78,6.80,5.63,4.78,,9.31,5.59,5.14,,
February,,,5.89,4.12,5.93,5.10,,4.26,3.92,4.95,,
March,,,2.48,4.94,1.82,2.40,,1.97,4.31,1.24,,
April,,,5.00,1.92,4.07,,,3.46,5.10,5.18,,
May,,,4.21,3.34,2.94,,,6.53,1.36,2.27,,
June,,,1.31,3.44,2.63,,,,6.00,4.17,,
July,,,5.91,4.49,1.23,,,,8.54,2.67,,
August,,,5.63,3.23,1.57,,,,3.49,4.53,,
September,,,4.65,9.12,6.75,,,3.71,2.76,4.25,,
October,,,5.71,9.42,7.27,6.67,8.04,7.75,8.37,1.09,,
November,,,9.98,8.29,2.38,,2.94,2.27,8.51,5.97,,
December,,,6.98,9.24,8.28,,10.18,5.38,8.99,7.75,,
Total,,,62.53,68.35,50.50,,-999.00,,66.94,49.21,,
Calc annual,0.00,0.00,62.53,68.35,50.50,18.95,21.16,44.64,66.94,49.21,,
Difference,NaN,NaN,0.00,0.00,-0.00,NaN,-1020.16,NaN,0.00,0.00,,
