BALMACARA HOUSE,,,,,,,,,,
Grid ref,NG800276,Long,-5.652118,Lat,57.28587,Elevation,2,ft,,
Station no,5788/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.78,6.8,5.63,4.78,,9.31,5.59,
February,,,5.89,4.12,5.93,5.1,,4.26,3.92,
March,,,2.48,4.94,1.82,2.4,,1.97,4.31,
April,,,5,1.92,4.07,,,3.46,5.1,
May,,,4.21,3.34,2.94,,,6.53,1.36,
June,,,1.31,3.44,2.63,,,,6,
July,,,5.91,4.49,1.23,,,,8.54,
August,,,5.63,3.23,1.57,,,,3.49,
September,,,4.65,9.12,6.75,,,3.71,2.76,
October,,,5.71,9.42,7.27,6.67,8.04,7.75,8.37,
November,,,9.98,8.29,2.38,,2.94,2.27,8.51,
December,,,6.98,9.24,8.28,,10.18,5.38,8.99,
Total,,,62.53,68.35,50.5,,,,66.94,
,,,,,,,,,,
BR 1953 Jul Estd,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 NP Low Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5788/6,,,,,,,,,
Midas,56,,,,,,,,,
Hyd stn,708499,,,,,,,,,
