HORSEHEATH-OLD-RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL613474,Long,0.353585,Lat,52.101422,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1191/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.09,3.64,2.75,4.94,2.01,2.52,1.74,4.48,1.41,1.96,1.61,1.7,3.8,1.25,1.42,2.69,1.86,1.13,1.6,2.34,,,,,
February,,,,,,2.91,2.63,0.71,0.9,1.51,2.15,2.75,0.77,1.18,1.68,1.88,1.43,1.03,1.29,3.55,4.19,0.88,1.74,1.81,,,,,,
March,,,,,,0.7,3.38,0.52,2.09,2.9,3.59,0.81,0.47,0.52,1.3,1.71,4.43,0.94,0.88,0.52,3.38,3.36,0.7,2.46,,,,,,
April,,,,,,1.7,3.14,0.29,2.85,1.71,1.49,0.75,0.9,1.59,1.07,0.98,1.96,1.93,1.39,2,3.4,1.57,2.37,0.4,,,,,,
May,,,,,,1.47,2.16,1.76,0.95,1.21,1.44,1.75,1.38,1.14,1.85,2.33,0.59,2.98,3.15,2.62,2.71,1.2,1.81,3.03,,,,,,
June,,,,,,2.83,1.49,0.64,1.55,0.41,0.55,0.47,1.34,1.36,1.87,2.4,2.95,4.59,0.94,1.11,1.62,1.73,2.51,2.22,,,,,,
July,,,,,,4.88,1.97,1.55,1.8,4.61,2.54,3.32,0.68,2.15,1.74,5.28,3.12,1.98,1.52,3.26,2.2,0.87,2.94,3.86,,,,,,
August,,,,,,0.82,0.93,1.57,2.89,0.23,4.13,1.36,1.13,3.17,2.27,3.73,0.16,5.19,1.51,1.96,3.73,3.85,2.28,4.76,,,,,,
September,,,,,,2.95,1.95,3.38,2.18,0.64,0.61,1.36,1.28,3.28,3.97,2.4,1.27,1.35,0.52,3.79,3.07,2.86,1.6,1.27,,,,,,
October,,,,,,1.83,1.83,2.52,5.42,2.01,2.26,4.03,1.38,3.76,1.74,1.36,0.2,2.07,5.65,0.58,1.28,2.37,3.08,2.11,,,,,,
November,,,,,,3.11,1.46,2.5,3.65,5.94,2.22,2.82,1.42,3.43,0.67,4.25,1.65,1.64,2.33,4.99,4.16,4.43,1.41,3.59,,,,,,
December,,,,,,1.89,3.36,2.78,0.9,1.76,1.31,1.85,1.35,1.1,3.63,2.58,3.59,2.05,1.92,1.46,1.95,2.82,0.91,2.46,,,,,,
Total,,,,,,28.18,27.94,20.97,30.12,24.94,24.81,23.01,16.58,24.09,23.75,30.51,23.05,29.55,22.35,27.26,34.38,27.8,22.48,29.57,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mote that before 1942 this site was called Horseheath Rose Farm, however the gauge was always situated at the Rectory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
