WOOLSTHORPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK843353,Long,-0.748,Lat,52.909,Elevation,182,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.80,2.39,1.18,2.48,0.78,2.07,,,1.83,1.63,2.35,1.20,1.90,1.72,2.56,1.62,3.43,1.30,2.62,1.92,0.87,1.80,1.85,1.55,3.04,2.86,2.08,4.27,1.51,2.74,2.08,3.33,2.41,1.40,1.37,1.66,3.76,1.17,0.69,2.76,1.56,0.82,0.98,2.30,3.74,1.23,2.50,2.65,4.48
February,1.07,0.63,1.07,2.77,4.05,0.57,,,1.30,0.29,2.30,3.52,0.78,2.07,1.10,1.85,1.27,0.53,0.40,2.47,0.48,2.41,0.52,2.22,1.98,2.50,0.78,0.71,2.60,2.23,0.88,0.48,2.58,1.63,3.00,1.69,1.06,0.58,3.36,3.48,0.35,1.42,2.53,2.56,0.75,2.16,3.15,0.10,2.04
March,2.48,3.22,2.14,0.92,4.83,1.10,,,2.28,0.90,2.07,1.18,0.53,0.99,0.35,1.86,1.39,0.05,1.66,0.38,1.63,2.66,1.93,0.72,1.18,2.56,0.20,1.86,2.10,3.35,1.29,0.50,0.20,0.59,0.91,4.29,0.40,1.19,0.61,2.85,2.72,0.93,1.92,2.28,0.96,1.43,1.59,1.90,1.55
April,0.12,1.91,1.16,0.75,1.26,1.41,,,4.82,0.91,3.10,1.35,1.74,1.13,1.65,1.51,0.84,1.08,2.55,2.95,2.09,0.84,1.82,2.28,1.63,2.38,0.01,1.91,1.19,1.58,0.84,0.57,2.09,1.11,1.46,1.83,1.30,1.91,2.24,2.14,0.96,2.45,0.48,1.22,1.85,0.27,0.43,2.34,0.62
May,2.82,1.75,1.88,1.54,1.93,1.23,,,1.39,1.50,1.18,1.81,3.16,3.33,2.90,0.86,1.42,1.09,2.21,2.65,5.05,1.45,0.67,0.62,0.58,3.48,2.90,1.25,0.70,2.81,3.00,2.29,1.67,2.09,1.62,1.95,2.62,2.28,2.39,2.77,1.52,1.62,3.48,3.38,0.74,1.04,2.03,0.60,0.96
June,3.59,1.71,2.67,0.92,1.06,1.47,,,2.19,0.87,0.99,0.67,2.41,0.10,2.02,3.93,2.83,1.39,0.53,1.99,1.32,1.60,0.68,2.28,3.61,0.50,0.95,2.37,1.10,0.44,1.42,1.65,1.56,2.68,2.99,2.06,2.40,0.97,2.27,1.12,2.72,2.49,3.06,3.47,3.33,2.15,4.74,,
July,4.84,0.56,2.66,5.52,1.31,1.48,,,3.47,0.51,4.24,4.01,2.42,1.24,1.74,2.12,0.98,1.33,3.33,4.73,6.31,1.54,2.97,0.09,5.19,5.58,3.04,3.59,2.87,4.82,2.49,1.47,1.87,2.50,1.15,1.44,1.14,3.73,1.85,0.90,0.19,1.57,1.90,0.61,3.01,2.96,3.78,,
August,5.29,0.50,1.15,3.17,3.11,5.35,,,0.92,3.30,5.50,1.74,2.35,1.31,2.33,2.03,1.91,1.67,1.96,3.18,1.97,0.64,1.65,1.27,0.56,0.69,2.72,3.85,0.10,4.53,2.40,1.34,3.11,2.03,4.56,0.12,2.83,1.87,1.88,4.20,2.67,1.61,4.63,0.55,3.86,1.94,2.10,1.06,
September,0.91,1.95,0.71,1.13,1.24,1.68,,,1.39,0.77,1.54,2.38,2.48,3.03,1.26,3.97,0.31,0.65,3.89,2.52,1.98,2.00,1.09,4.11,2.44,0.78,2.30,0.67,0.30,0.54,1.30,1.60,3.97,0.94,3.50,0.84,2.69,1.36,2.76,0.86,1.80,0.97,2.17,0.65,1.74,4.31,2.35,0.18,
October,1.86,4.23,2.33,0.94,1.44,2.86,,,0.97,1.52,0.89,2.37,4.25,2.79,2.32,1.88,3.50,2.74,1.34,0.45,2.91,2.44,0.78,2.63,1.58,2.27,1.99,3.01,3.50,2.42,2.54,1.54,2.25,2.37,1.67,0.22,2.10,3.99,0.78,1.24,2.83,1.90,2.95,1.81,1.06,0.83,1.52,1.49,
