WISBECH-YORK-ROW,,,,,,,,,,,,,,,,,,,,
Grid ref,TF460095,Long,0.15741226,Lat,52.663562,Elevation,5,ft,,,,,,,,,,,,
Station no,1222/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,3.97,1.86,2.44,,,,,,,,,
February,,,,,,,,,0.44,2.15,2.46,,,,,,,,,
March,,,,,,,,,1.72,1.87,3.28,,,,,,,,,
April,,,,,,,,,2.07,1.65,0.97,,,,,,,,,
May,,,,,,,,,0.93,1.04,2.4,,,,,,,,,
June,,,,,,,,,2.21,0.33,0.9,,,,,,,,,
July,,,,,,,,,3,2.86,3.84,,,,,,,,,
August,,,,,,,,,1.66,0.44,4.55,,,,,,,,,
September,,,,,,,,,1.35,0.5,0.48,,,,,,,,,
October,,,,,,,,,3.09,1.76,2.43,,,,,,,,,
November,,,,,,,,,3.09,5.09,2.84,,,,,,,,,
December,,,,,,,,,1.34,1.43,0.99,,,,,,,,,
Total,,,,,,,,,24.87,20.98,27.58,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Note that gauge moved 400m SE from Aug 17-Sep 4,,,,,,,,,,,,,,,,,,,,
