DERWENT-DALE-BACK-DYKE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK153944,Long,-1.7711091,Lat,53.446148,Elevation,1546,ft.,,,,,,,,,,,,,
Station no,RR7343,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,
January,,,,,,,6.13,2.21,4.65,3.01,3.77,2.54,5.03,5.1,5.31,,,,,,
February,,,,,,,3.59,2.87,4.44,3.92,5.25,6.44,2.27,1.84,2.94,,,,,,
March,,,,,,,4.74,5.06,4.06,4.65,1.1,3.9,5.58,5.39,7.32,,,,,,
April,,,,,,,1.75,3.18,4.57,3.05,5.18,4.41,1.75,4.22,2.41,,,,,,
May,,,,,,,3.6,4.55,3.76,2.61,4.4,1.34,3.73,3.18,3.49,,,,,,
June,,,,,,,2,9.16,2.26,4.74,3.96,4.27,4.98,2.75,5.32,,,,,,
July,,,,,,,3.95,3.43,5.67,6.63,5.33,0.73,7.49,1.34,4.18,,,,,,
August,,,,,,,4.34,4.89,4.81,3.42,7.29,3.21,9.58,1.74,3.57,,,,,,
September,,,,,,,2.09,0.6,3.89,3.74,0.57,3.3,3.66,3.5,3.94,,,,,,
October,,,,,,,7.44,8.48,1.78,6.58,3.78,4.41,4.2,5.61,4.1,,,,,,
November,,,,,,,7.52,4.57,3.72,2.63,5.72,6,4.03,5.77,7.75,,,,,,
December,,,,,,,4.57,4.77,2.74,7.31,9.35,8.12,8.4,3.69,8.98,,,,,,
Total,53.48,47.06,43.75,62.48,40.24,46.49,51.72,53.77,46.35,52.29,55.7,48.67,60.7,44.13,59.31,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is on Back Dike (a track) at the stated altitude.,,,,,,,,,,,,,,,,,,,,,
NGR could be up to 750m NW,,,,,,,,,,,,,,,,,,,,,
