PORTLAW MAYFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS4723616481,Long,-7.30825,Lat,52.298278,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.51,1.99,3.51,7.92,6.03,4.8,2.57,5.57,4.49,3.7,5.28,2.53,2.51,5.22,5.16,5.83,1.56,3.49,3.72,6.69,4.27,5.62,1.89,9.32,4.97,3.13,5.2,1,2.41,1.88,2.89,1.39,5.67,9.4,1.96,2.12,2.43,2.3,4.76,4.99,6.11,3.2,5.57,,10.08,5.6,9.6,3.63,,3.08,7.3,3.71,,3.05,3.94,1.38,7.18,7.33,4.69,5.93,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,4.54,5.74,4.59,8.44,8.51,7.22,3.91,1.08,0.8,1.96,3.09,0.36,4.19,4.33,2.48,1.84,2.42,3.06,1.41,4.55,5.88,2.09,5.84,3.83,6.77,1.02,2.81,1.84,1.41,1.26,5.21,2.66,5.95,3.25,7.04,5.9,4.65,1.47,5.16,5.21,2.12,2.86,3.02,,2.34,4.22,4.69,2.88,,11.79,1.41,3.76,,3.4,0.18,3.46,5.13,5.55,2.7,4.89,8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,4.91,4.09,1.87,1.87,5.72,4.45,4.57,1.99,2.97,1.29,4.1,1.31,1.14,0.46,1.52,3.62,2.39,6.05,0.33,1.99,0.92,2.62,2.2,9.59,3.16,5.83,2.29,1.24,4.88,3.97,2.4,2.27,4.68,4.04,5.11,1.19,1.72,4.32,2.19,3.43,4.64,3.61,1.38,,1.37,0.21,1.26,5.12,,0.94,6.95,9.11,,3.2,4.1,1.6,3.87,4.63,0.82,2.16,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,4.06,2.21,5.15,3.06,1.78,4.94,3.04,1.92,2.59,2.2,1.01,2.88,0.9,0.67,6.12,3.02,0.44,6.04,5.25,2.73,1.76,3.19,4.2,1.78,1.44,3.8,1.37,2.99,3.08,5.96,2.04,2.94,1.05,5.02,1.71,1.26,2.33,1.87,1.53,1.47,5.11,0.41,3.09,,3.18,3.64,2.84,1.58,,2.05,2.09,3.67,,2.16,4.3,4.92,1.82,3.85,0.02,1.25,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.18,2.14,3.63,1.94,2.23,2.67,4.67,1.12,2.83,4.65,4,3.97,4.01,2.55,2.22,0.74,0.02,2.09,1.8,3.62,3.65,1.56,1.67,2.94,2.45,1.24,3.39,3.71,2.21,2.12,1.51,2.19,1.53,5.44,1.81,2.98,4.36,4.45,3,4.8,3.72,2.98,1.42,,3.48,4.57,2.52,2.11,,4.56,2.25,8.06,,4.25,3.1,0.62,2.72,1.98,5.01,1.55,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.61,4.6,3.91,1.74,0.55,1.29,0.94,0.41,6.76,1.52,3.07,3.21,2.14,1.62,2.65,3.61,2.33,3.38,3.64,2.21,4.68,3.09,3.71,6.42,3.52,2.43,1.38,4.12,1.11,3.33,3.67,2,5.05,2.27,0.83,1.49,2.99,1.94,1.51,2.38,1.76,0.16,1.19,,3.87,0.36,1.98,3.14,,2.79,2.36,3.74,,2.78,1.46,5.94,2.61,1.26,3.96,1.9,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,7.21,2.17,7.31,4.56,2.33,1.42,4.76,1.88,5.96,1.28,2.37,2.24,4.48,3.92,4.07,4.43,4.5,2.2,1.13,3.51,3.76,0.66,3.34,6.12,4.1,1.67,2.59,2.62,2.97,2.16,2.99,3.88,7.24,0.21,3.74,5.21,0.9,1.8,3.8,1.17,6.79,6.43,3.37,,3.84,2.19,2.72,4.87,,5.17,3.24,5.56,3.82,2.25,1.18,0.65,6.76,3.96,5.32,4.76,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.54,4.86,4.3,3.63,0.94,5.21,2.96,2.6,3.74,6.48,2.19,5.81,5.77,4.96,3.13,5.72,1.13,7.11,4.67,2.53,3.57,3.61,3.86,7.03,4.69,5.95,2.59,3.06,5.18,0.47,8.15,2.4,3.29,1.05,6.2,3.13,2.23,8.99,2.2,3.67,3.16,4.78,4.17,,2.86,2.92,4.24,4.68,,3.19,7.52,3.28,3.6,2.12,4.92,1.26,0.74,1.59,3.99,1.85,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,3.38,3.2,2.27,5.08,2.49,5.29,5,1.98,0.9,0.81,2.33,3.16,3.19,1.01,0.96,1.25,6.12,3.27,3.7,1.13,1.39,6.07,5.18,4.1,4.09,1.6,1.35,1.32,7.11,2.48,1.1,3.7,0.37,4.11,1.9,2.23,1.26,1.48,7.08,1.58,1.54,1.05,3.34,,7.43,2.19,0.98,3.86,,1.1,4.24,4.72,1.75,2.31,6.88,7.66,3.27,3.81,2.99,2.92,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,4.54,5.05,5.78,3.02,1.62,4.33,6.89,2.38,3.31,4.81,1.43,6.67,3.12,2.52,6,2.31,3.37,4.86,6.28,2.4,4.33,3.8,2.95,6.8,1.78,0.83,5.71,7.09,3.15,7.97,3.74,4.32,2.98,6.51,1.8,6.43,7.63,2.71,5.33,0.56,7.63,2.36,1.57,,4.43,5.1,2.39,3.22,,3.84,5.7,1.55,3.9,3.78,3.77,2.64,1.41,4.01,5.2,3.54,8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
