LANGTON-HERRING-THE-MANOR-(HIGHER-FARM),,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY615823,Long,-2.5458,Lat,50.6396,Elevation,170,ft,,,,,,,,,,,,,,
Station no,1562,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.68,2.08,1.91,1.52,2.03,0.68,4.72,4.32,3.13,5.33,3.79,5.13,4.76,6.13,2.45,2.72,2.71,,,,
February,,1.04,1.86,0.07,4.13,0.08,2.88,2.77,5.6,0.73,1.84,3.88,4,0.23,1.25,0.4,2.25,2.87,,,,
March,,1.44,1.4,1.92,3.06,2.32,1.31,4.42,4.13,0.31,1.19,3.13,3.62,2.7,1.19,0.18,1.05,1.56,,,,
April,0.77,2.71,2.6,2.38,1.78,2.14,3.18,1.95,2.41,0.09,2.37,1.79,2.38,1.91,1.09,1.91,0.85,2.46,,,,
May,2.01,2.14,3.18,3.06,1.72,0.61,2.34,0.63,4.16,1.51,0.8,1.66,2.88,4.34,2.41,0.24,3.25,4.06,,,,
June,1.17,0.51,3.36,2.32,0.49,1.73,3.68,2.24,0.7,0.77,3.06,0.36,2.57,0.47,1.08,1.89,3.06,3.78,,,,
July,1.22,1.73,3.32,2.32,1.7,0.14,0.44,3.48,3.14,2.58,3.74,2.6,1.81,1.34,2.16,3.06,2.04,1.39,,,,
August,1.56,2.96,4.05,1.08,0.66,2.72,2.26,0.16,1.45,3.44,2.46,0.06,3.45,4.4,2.2,1.58,2.34,3.86,,,,
September,0.4,3.87,1.84,3.3,2.98,2.48,2.82,2.25,2.43,1.63,1.03,2.01,1.46,2.41,2.54,1.67,2.68,4.83,,,,
October,3,2.57,0.47,6.39,2.08,2.16,4.62,1.05,4.19,3.35,7.31,4.74,1.42,4.37,3.81,3.29,3.26,0.97,,,,
November,7.58,5.7,4.33,1.8,0.9,1.91,6.97,3.85,2.28,4.68,5.74,7.83,1.76,1.76,2.3,5.17,1.49,,,,,
December,6.01,4.45,1.58,1.44,0.95,8.67,4.86,2.98,3.47,3.62,2.21,2.5,2.52,4,3.42,2.12,4.07,,,,,
Total,,32.8,30.07,27.99,21.97,26.99,36.04,30.5,38.28,25.84,37.08,34.35,33,32.69,29.58,23.96,29.06,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1929 Mar 6 Moved to Ivy Cottage 0.25 miles SW,,,,,,,,,,,,,,,,,,,,,,
1935 Feb 5 Gauge moved 280yds E to Higher Farm,,,,,,,,,,,,,,,,,,,,,,
Elevation similar NGR is Higher Farm as location of Ivy Cottage unknown other than in the village,,,,,,,,,,,,,,,,,,,,,,
1936 Gauge moved 80ft W of original site and lowered from 2ft to 1ft above ground,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Part estimated for snow,,,,,,,,,,,,,,,,,,,,,,
1944 Observer states gauge sound,,,,,,,,,,,,,,,,,,,,,,
1944 Not printed Low,,,,,,,,,,,,,,,,,,,,,,
1946 Gauge moved to Dorchetser South Court Avenue Station No 1575/2,,,,,,,,,,,,,,,,,,,,,,
NB This station re-opened 1961-1964 with same Hydro No but only 1962-63 complete years,,,,,,,,,,,,,,,,,,,,,,
