"PARKSTONE BEN HUR POOLE ROAD",,,,,,,,,,,,
Grid ref,SZ049916,Long,-1.931947,Lat,50.724003,,,,,,,
Station no,RR1625,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,1.14,2.68,5.41,1.14,7.54,0.90,0.81,0.96,,
February,,,1.72,1.97,3.96,0.89,3.44,1.37,1.19,0.47,,
March,,,2.45,3.67,1.33,4.95,1.12,0.52,3.44,4.43,,
April,,,1.62,3.10,1.21,1.64,1.05,3.92,2.44,1.31,,
May,,,2.40,2.77,2.72,0.67,2.81,1.93,1.73,1.74,,
June,,,3.08,2.56,0.87,2.82,1.41,1.96,0.42,3.78,,
July,,1.89,1.76,3.14,2.47,0.28,1.53,0.96,1.77,1.96,,
August,,2.03,4.59,4.10,3.87,2.55,0.85,1.74,3.15,3.41,,
September,,3.68,1.63,2.31,2.68,2.28,0.78,0.74,2.22,3.55,,
October,,2.84,2.35,9.30,2.54,2.43,6.36,9.69,1.79,8.57,,
November,,0.61,4.01,1.63,1.28,4.59,4.42,2.73,0.86,0.62,,
December,,5.08,1.74,3.33,3.72,0.81,1.81,3.80,3.61,4.73,,
Total,,,28.49,40.56,32.06,25.05,33.12,30.26,23.43,35.53,,
Calc annual,0.00,16.13,28.49,40.56,32.06,25.05,33.12,30.26,23.43,35.53,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
