CARDINGTON (On Roof 36ft),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL081463,Long,-0.4217,Lat,52.1048,Elevation,136,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,0.75,1.83,0.92,2.2,3.28,2,2.5,0.4,2.13,3,0.46,0.7,2.3,0.84,1.12,1.75,0.86,2.75,2,1.75,1.5,2.25,0.5,0.7,2.25,1.84,1.25,1.9,1.3,2.7,0.85,1.86,0.2,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,,3.17,,,,,,,,,2.74,1.02,2.29,,,,,,,,,,,,,,,,,,,,,,,0.76,0.76,1.94,3.62,0.74,2.27,3.12,2.12
February,,,,,,,,,2.56,0.75,1.38,0.5,0.92,1.33,0.74,1.6,0.96,0.22,1.34,1.5,1,1.6,0.25,0.37,0.54,2,1.75,1,1.12,1.3,0.75,0.84,0.84,1.24,1,0.9,1.75,1.4,1.25,2.2,1.8,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,2.26,,,,,,,,,1.08,0.62,0.46,,,,,,,,,,,,,,,,,,,,,,,1.43,1.98,1.54,0.52,2.45,2.39,0.07,1.82
March,,,,,,,,,3.15,1.63,0.12,2.81,0.56,0.81,0.4,1.05,0.7,1.21,0.7,1.3,1.36,1.2,2,0.5,3.15,0.7,0.7,1.5,1.2,0.88,1.2,1,1.4,1.14,0.44,0.4,1.8,1.2,0.35,0.7,1.4,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,0.8,0.04,1.65,,,,,,,,,,,,,,,,,,,,,,,0.56,1.72,1.06,0.56,1.48,1.79,2.58,1.39
April,,,,,,,,,3.25,2.63,1.9,1.73,0.4,2.34,0.55,0.51,1.36,1.76,3.03,2,0.6,0.76,1.75,0.83,0.75,0.5,1,1.5,0.7,1.4,0.36,1.7,1.3,0.86,1,1.12,2.6,2.3,1.75,1.5,1.26,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,,,,,,,,,2.9,2.14,,,,,,,,,1.09,1.42,1.6,,,,,,,,,,,,,,,,,,,,,,,1.69,0.36,0.43,1.01,0.21,0.93,1.71,0.24
May,,,,,,,,,0.03,2.25,3,1.05,2.5,1.18,2.56,1.5,2.46,1.63,2.26,2,2.86,0.9,2,0.44,1.75,1.12,0.9,1.7,0.5,2.8,0.45,0.7,1.5,1.5,1,1.6,0.36,2,3.8,2.8,1,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,2.2,0.8,,,,,,,,,1.4,1.13,2.32,,,,,,,,,,,,,,,,,,,,,,,1.45,2.27,3.88,0.43,1.23,2.07,0.59,1.41
June,,,,,,,,,4.16,0.65,1,1,3.5,2.82,1.4,2.7,1.85,1.9,0.28,2.18,3.5,1.8,1.62,2,1.8,1.5,1.86,1.4,0.8,1,0.8,3,2,2,0.75,4.25,1.1,1,1.75,3.7,2.15,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,,0.5,1.02,,,,,,,,,1.83,0.76,0.29,,,,,,,,,,,,,,,,,,,,,,,2.01,2.81,2.47,2.34,1.48,5.03,0.76,2.18
July,,,,,,,,,1.89,3.06,4.5,2.75,2.71,2.62,2.08,3.4,1.16,2.14,1.95,3,1.2,3.7,1,0.5,0.46,1.75,2.5,2.3,0,0.2,1.35,2.25,3.8,1.56,0.9,5.75,1,2.75,0.55,3.74,5.74,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,2.7,2.1,,,,,,,,,2.29,1.29,2.26,,,,,,,,,,,,,,,,,,,,,,,2.09,2.51,0.19,4.01,2.81,2.83,2.09,3.39
August,,,,,,,,,3.7,2.07,0.72,1.41,4.87,2,1.39,1.22,3.56,3.75,2.67,3,2.62,0.2,1.5,2.25,0.4,4.25,3,2.1,2.5,0.8,1.25,0.4,2.6,2,1.1,2,1.7,3,4.4,3.75,0.75,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,,0.5,2.17,,,,,,,,,1.67,0.66,2.19,,,,,,,,,,,,,,,,,,,,,,,2.31,3.15,0.62,3.27,3.14,2.82,0.58,2.84
September,,,,,,,,,4.3,3.04,1.43,0.43,2.19,1.6,0.63,1.25,2.2,3.25,1.24,2,2.5,1,2.2,2.32,1.75,0.56,3,1,2.62,2,0.7,4,0.85,1.65,2.9,2,4.5,1,0.66,2.4,4.2,,,,,,,,,,,,,,,,4.05,,,,,,,,,,,,,,,,,,,,,,5.15,1.82,,,,,,,,,0.72,0.16,2.25,,,,,,,,,,,,,,,,,,,,,,,0.81,1.37,1.69,1.57,2.76,2.53,0.05,3.54
October,,,,,,,,,4.4,2.47,1.32,2.4,2.52,2.16,1.65,3.86,2,5.25,1.88,2.74,1.3,0.8,2.25,2,0.8,4.7,1.56,1.56,2.1,0.78,2.15,0.64,2.8,1.9,1.5,3.5,0.56,1.3,1.9,0.6,3.9,,,,,,,,,,,,,,,,2.67,,,,,,,,,,,,,,,,,,,,,,1.27,0.68,,,,,,,,,2.29,2.7,0.82,,,,,,,,,,,,,,,,,,,,,,,1.75,1.6,1.51,1.41,1.62,1.68,1.53,4.01
