CARDINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL083464,Long,-0.420143,Lat,52.105339,Elevation,106,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.56,1.56,0.72,1.94,2.5,,2,0.34,1.9,2.3,0.46,0.5,2.5,1,1.5,2.12,1,3.2,2.5,2.5,2.8,2.5,0.7,0.9,2.75,2.15,1.6,2.3,1.72,3.25,1.2,2.24,0.3,0.72,1.5,1.8,2,1.4,2.25,2.15,,1.18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.28,0.75,1.05,0.4,0.9,0.9,0.3,,0.92,0.2,1.06,1.26,1.2,2,0.37,0.5,0.75,2.5,2.55,1.25,1.5,1.8,1.05,1.1,1.1,1.46,1.25,1,2.2,1.7,1.35,2.9,2,2.5,1.6,2.68,0.7,1.75,0.2,0.75,,1.9,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.62,1.34,0.1,2,0.47,0.3,,0.81,0.56,0.92,0.55,0.7,1.6,1.8,2.75,0.7,4,1.25,1.2,2.5,1.64,1.3,1.6,1.31,1.75,1.46,0.7,0.5,2.3,1.57,0.48,1,1.7,1.4,1.15,0.9,0.95,1.2,1.56,1.45,,1.57,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.67,1.78,1.5,1.62,0.35,2,,0.45,1,1.44,2.45,1.7,0.8,0.9,2.25,1.05,1.05,0.8,1.6,2.12,1.13,1.75,0.5,2,1.9,1.2,1.25,1.74,3.75,2.6,2.05,1.8,1.54,1.08,3.1,1.85,1.2,2.84,2.04,0.8,,2.62,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0,1.75,1.1,0.91,1.6,0.9,,1,1.9,1.43,0.82,1.7,3.26,1.2,2.75,0.5,2.06,1.38,1.34,2.7,0.6,3.5,0.65,1.2,2.08,2,1.5,2,0.45,2.3,4.44,3.25,1.2,0.67,1.5,1.88,0.9,2.35,4,2.4,,4.8,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.14,0.6,0.89,1.3,2.2,1.2,,1.65,1.3,0.18,2,4.32,2.25,2,2.6,1.25,2,2.25,1.75,1,1.15,1,3.25,2.5,2.35,1.1,4.66,1.45,1.45,2,4.35,2.45,2.15,2.8,2.7,2.25,1.88,0.5,0.8,,1.43,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.25,3,3.2,2.5,,1.6,1.66,,0.75,1.65,1.7,2.6,1.34,4,1.4,0.64,0.7,2.25,2.75,3.5,0.15,0.3,1.6,3.25,4.3,2,1.16,6.5,1.45,3.35,0.8,4.2,6.44,1.9,3.2,3.29,3.03,0.2,3.46,0.4,,2.85,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.85,1.87,0.3,0.8,3.07,1.5,1,,1.8,3.46,1.8,2.72,2.8,0.36,1.9,2.36,0.65,4.7,3.37,2.3,3.2,0.82,1.5,0.6,3,2.2,1.37,2.5,2.2,3.4,5,4.5,1,4.72,1.94,0.95,1.2,2.5,1.25,1.3,,1.33,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3,1,0.34,1.8,1.1,0.5,,1.88,2.36,0.9,1.76,3,1.12,2.5,2.53,2,0.7,3.5,1.25,3.2,2.25,0.8,4.9,1.15,1.9,3.2,2.36,5.2,1.7,0.9,2.6,5,1.96,2.12,4.55,1.4,3.7,1.15,1.95,,2.6,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.88,2.31,1.18,1.37,2,1.86,,,1.22,4.5,1.6,2.5,1.4,1,2.5,2.25,1.2,5.6,1.9,1.9,2.4,1,2.62,0.84,3.15,2.15,1.7,4,0.8,1.6,2.1,0.8,4.3,2.12,4.75,1.61,1.26,4.25,3.25,1.35,,3.16,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
