CARDINGTON VILLAGE (Staff Gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL087480,Long,-0.4132,Lat,52.1201,Elevation,88,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,2.92,1.17,0.75,1.71,0.87,2.115,3.28,1.905,2.5,0.36,2.1,2.83,0.46,0.53,2.44,0.95,1.35,2.02,1,3.08,2.47,2.37,2.94,2.49,0.64,0.86,2.6,2.06,1.44,2.17,1.67,2.99,1.1,2.1,0.29,0.68,1.44,1.69,1.85,1.38,2.14,2.04,0.9,1.07,1.95,,,,,,,,,
February,,,,,,,1,0.73,2.56,0.78,1.27,0.45,0.92,1.325,0.74,1.52,0.95,0.165,1.2,1.415,1.17,1.99,0.32,0.42,0.75,2.27,2.54,1.21,1.39,1.67,0.97,1.01,0.98,1.4,1.14,0.98,2.09,1.58,1.32,2.77,1.89,2.42,1.45,2.58,0.66,1.68,0.21,0.72,1.44,1.76,0.68,,,,,,,,,
March,,,,,,,1.8,0.79,3.15,0.7,0.12,2.705,0.56,0.815,0.4,1.08,0.63,1.1,0.69,1.215,1.46,1.76,3.12,0.63,4,1.19,1,2.3,1.59,1.17,1.52,1.24,1.64,1.34,0.57,0.48,2.18,1.47,0.45,0.86,1.58,1.28,1.11,0.88,0.89,1.16,1.48,1.32,3.04,1.5,2.08,,,,,,,,,
April,,,,,,,3.67,1.1,3.25,2.52,1.55,1.73,0.4,2.34,0.55,0.45,1.355,1.755,2.8,1.8,0.72,0.87,2.11,1.03,1.05,0.7,1.4,1.97,0.96,1.67,0.45,1.9,1.71,1.06,1.2,1.64,3.2,2.5,1.95,1.67,1.42,1.04,2.95,1.85,1.16,2.64,1.93,0.8,1.71,2.58,0.7,,,,,,,,,
May,,,,,,,1.04,3.4,0.03,2.25,2.73,1.21,2.5,1.18,2.56,1.5,2.345,1.63,2.19,1.71,3.17,1.12,2.75,0.49,2.06,1.3,1.22,2.58,0.54,3.4,0.58,1.03,1.92,1.83,1.27,1.88,0.41,2.18,4.26,3.12,1.11,0.64,1.36,1.72,0.84,2.21,3.75,2.34,0.79,4.65,1.59,,,,,,,,,
June,,,,,,,1.34,2.89,4.16,0.25,0.86,1,3.5,2.82,1.2,2.72,1.84,1.88,0.27,2.15,4.28,2.14,1.81,2.5,2.25,1.97,2.22,1.66,0.97,1.12,0.96,3.18,2.3,2.24,1.01,4.55,1.39,1.3,1.91,4.24,2.32,2.03,2.71,2.64,2.1,1.81,0.51,0.83,3.4,1.32,1.84,,,,,,,,,
July,,,,,,,2.08,1.18,1.89,3.06,4.35,2.74,2.71,2.615,2.08,3.2,1.14,2.085,1.86,2.91,1.31,3.95,1.26,0.58,0.7,2.2,2.63,3.25,0.15,0.29,1.51,2.81,4.22,1.89,1.11,6.35,1.3,3.14,0.73,4.02,6.24,1.84,3.13,3.29,2.95,0.21,3.36,0.38,3.82,2.77,2.5,,,,,,,,,
August,,,,,,,3.2,1.62,3.7,2.07,0.8,1.41,4.87,2,1.39,1.2,3.435,3.735,2.64,2.785,2.71,0.35,1.82,2.33,0.65,4.62,3.28,2.23,3.09,0.82,1.4,0.54,2.9,2.15,1.3,2.46,2.08,3.26,4.73,4.25,0.9,4.58,1.89,0.95,1.15,2.48,1.23,1.24,2.5,1.31,1.78,,,,,,,,,
September,,,,,,,0.98,1.67,4.3,3.04,1.39,0.41,2.18,1.6,0.63,1.16,2.13,3.14,1.215,1.905,2.88,1.02,2.31,2.49,2,0.66,3.35,1.16,3.12,2.22,0.74,4.71,1.06,1.82,3.03,2.29,5.04,1.5,0.8,2.49,4.76,1.93,2.07,4.48,1.29,3.51,1.12,1.87,0.88,2.54,0.46,,,,,,,,,
October,,,,,,,5.13,2.56,4.33,2.47,1.3,2.31,2.535,2.165,1.65,3.86,2,5.24,1.87,2.6,1.33,0.84,2.41,2.16,1.2,5.47,1.82,1.84,2.37,0.92,2.43,0.76,3.04,2.06,1.63,3.95,0.7,1.47,2.05,0.71,4.21,2.04,4.65,1.61,1.18,4.07,3.18,1.31,0.48,3.13,1.56,,,,,,,,,
