ISLAY ARDBEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR416462,Long,-6.10785,Lat,55.640449,Elevation,46,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,5.58,7.57,3.35,7.79,6.47,2.76,3.1,0.77,4.46,6.21,6.95,3.46,6.98,3.17,2.89,4.04,4.12,3.2,4.06,2.53,4.58,2.61,3.08,1.8,2.5,4.41,6.87,4.86,3.12,6.26,4.6,4.26,5.03,3.91,3.97,6.17,5,3.03,2.6,4.78,3.68,5.27,4.73,3.65,4.67,4.99,4.9,8.83,6.58,5.2,3.47,3.76,4.99,6.69,8.19,2.03,4.58,5.64,5.02,,,,,,,,
February,,,,,2.66,1.92,6.01,7.92,1.61,3.43,2.97,5.71,3.7,4.59,3.81,5.2,3.23,3.27,1.75,3.45,0.87,0.59,2.79,3.8,7.03,0.58,2.97,2.48,5.99,2.1,2.15,2.84,0.7,5.22,2.71,4.61,5.47,4.07,4.71,3.06,6.35,5.32,2.74,2.82,5,3.23,5.37,1.98,5.12,1.17,4.33,1.95,6.24,5.07,2.11,4.33,4.29,2.51,4.06,2.6,0.58,5.37,0.12,,,,,,,,
March,,,,,3.71,2,5.11,3.04,3.44,2.97,3.54,6.34,3.99,1.96,5.69,2.5,3.86,2.4,2.9,2.44,3.04,3.97,0.53,2.37,3.44,4.97,7.23,3.99,2.85,3.58,1.13,2.58,4.18,5.23,2.19,3.67,3.44,5.84,4.78,1.48,2.22,1.59,5.11,5.4,5.09,3.76,2.21,2.92,1.58,3.73,2.69,4.25,1.51,1.77,1.44,2.9,3.59,2.67,3.07,0.94,3.1,1.08,3.71,,,,,,,,
April,,,,,3.16,1.48,1.95,2.17,2.47,1.28,2.95,1.19,3.41,2.51,1.3,2.38,2.16,2.48,1.63,2.32,1.56,0.67,1.57,2.72,1.04,1.93,2.76,1.74,2.2,4.18,3.62,3.78,1.77,3.04,5.06,2.57,3.2,2.66,1.91,2.44,4.32,3.08,2.57,3.79,2.8,3.3,4.51,3.21,1.69,3.51,2.36,1.32,3.06,3.24,3.05,4.01,2.19,4.43,1.77,2.59,2.19,2.28,4.54,,,,,,,,
May,,,,,1.35,2.32,1.29,1.48,3.57,3.25,1.9,2.91,2.47,3.61,3.76,2.42,3.32,2.22,3.72,1.65,1.81,2.4,5.72,1.45,2.59,0.53,0.97,2.63,3.91,4.17,2.45,1.45,3.71,2.72,3.4,2.72,4.14,4.78,2.48,2.21,3.43,2.79,2.05,3.42,2.49,1.37,4.79,4.48,2.57,1.9,5.88,1.92,3.59,3.46,3.76,4.23,3.15,2.75,2.05,3.04,1.8,2.77,2.24,,,,,,,,
June,,,,,1.2,2.49,3.43,4.52,3.53,3.86,3.59,4.64,3.62,4.56,0.64,1.75,1.83,1.25,3.55,1.2,4.43,1.41,3.01,0.9,2.69,1.44,3.81,5.55,3.9,1.83,2.15,4.56,1.6,0.59,0.55,1.47,1.04,5.56,3.03,2.77,1.3,1.9,5.38,2.49,1.43,1.95,1.17,3.24,1.93,4.39,2.1,1.34,2.83,3.15,3.51,1.39,2.18,3.93,5.52,4.08,3.29,5.41,1.39,,,,,,,,
July,,,,,3.47,1.14,3.4,4.59,1,5.48,3.93,5.15,5.82,2.45,3.05,2.47,3.91,2.73,4.13,2.09,5.03,1.82,4.78,3.67,2.82,4.55,5.26,2.9,1.76,4.93,4.31,1.25,4.76,3.95,3.14,3.55,3.23,2.9,3.24,6.69,3.71,4.7,2.9,1.26,3.14,4.17,2.21,2.02,3.45,1.76,4.21,2.75,2.65,4.66,5,3.79,3.06,3.52,3.14,4.02,2.85,4.98,4.77,,,,,,,,
August,,,,4.91,4.89,4.48,6.31,5.63,4.58,6.36,2.47,3.6,4.13,6.52,4,2.15,2.67,2.4,5.81,5.56,4.07,5.63,4.31,3.68,2.81,4.43,3.35,3.76,5.49,2.48,5.01,5.65,3.13,6.05,4.46,5.82,5,5.61,5.11,4.16,6.52,2.95,4.01,0.33,4.01,1.79,2.3,4.3,5.11,4.22,5.22,4.06,4.55,5.38,5.77,3.24,4.59,3.07,4.74,7.77,7.97,1.86,2.83,,,,,,,,
September,,,,3.95,6.99,4.49,3.61,2.65,4.41,6.67,3.9,3.49,5.03,4.15,3.17,6.45,4.76,4.19,2.49,3.23,4.57,4.21,5.97,4.5,0.56,1.71,4.51,5.08,7,7.28,4.13,3.77,8.64,3.8,2.75,3.87,2.16,1.83,5.87,2.77,1.36,2.26,2.95,2.26,3.79,1.15,2.62,3.37,7.35,4.92,4.63,2.94,2.5,7.53,4.88,4,4.13,5.46,4.47,2.01,3.83,2.99,4.55,,,,,,,,
October,,,,10.15,6.25,6.63,6.31,6.2,8.61,3.39,1.52,3.07,4.92,6.65,4.7,4.43,3.8,2.11,2.32,3.36,5.56,3.14,4.29,6.59,1.92,6.1,4.66,2.46,2.43,4.71,6.47,5.19,3.18,9.32,3.99,5.64,6.24,4.49,1.58,6.06,1.91,2.75,5.52,3.13,2.8,1.87,6.27,9.81,5.95,2.06,3.54,5.52,2.09,7.09,3.23,3.9,6.68,5.63,6.78,8.23,8.86,5.04,6.78,,,,,,,,
