WINDLESHAM-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU932639,Long,-0.66156,Lat,51.36658,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,237/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,1.84,,,,,,,,,,,,2.68,2.46,3.4,1.71,2.47,,,,,,3.48,1.75,2.27,2.02,1.86,0.81,4.91,4.72,2.91,5.1,2.71,2.38,3.36,5.3,1.99,1.63,1.95,2.14,4.6,1.49,0.67
February,,,,,,,,,1.32,,,,,,,,,,,,0.45,0.33,3.1,4.54,0.45,,,,,,1.11,1.66,0.28,3.3,0.15,3.05,2.07,4.35,0.48,1.22,2.05,2.53,0.52,1.45,0.93,1.86,2.43,1.34,1.55,1.17,4.45
March,,,,,,,,,-999,,,,,,,,,,,,1.61,1.33,1.2,3.16,1.32,,,,,,1.6,0.33,1.48,3.14,2.4,0.34,2.68,3.38,0.3,1.26,2.27,3.38,1.91,0.53,0.24,0.57,1.26,5.13,0.83,1.32,0.95
April,,,,,,,,,-999,,,,,,,,,,,,3.97,0.74,3.83,3.69,3.48,,,,,,2.33,3.74,2.97,0.99,2.02,3.56,2.31,2.51,0.15,2.86,2.66,1.48,1.42,1,1.31,1.22,1.87,2,1.63,1.85,3.09
May,,,,,,,,,3.73,,,,,,,,,,,,1.2,1.46,2.01,2.9,4.13,,,,,,2.42,3.46,4.01,2.93,0.52,1.88,0.77,2.46,1.8,1.24,1.37,2.06,3.08,2.27,0.53,1.95,3.38,1.5,2.74,1.99,1.67
June,,,,,,,,,1.2,,,,,,,,,,,,1.6,0.32,0.98,0.39,3.23,,,,,,1.87,1.8,1.35,1.94,1.23,4.16,3.35,2.19,1.03,1.4,0.85,1.77,0.3,1.4,1.9,2.58,3.45,1.99,2.41,0.25,1.4
July,,,,,,,,,1.82,,,,,,,,,,,,7.13,0.25,3.5,1.57,4.46,,,,,,2.74,3.48,2.66,1.71,2.37,0.57,3.95,0.78,1.38,4.11,2.9,4.36,1.72,1.43,1.97,4.05,2.19,1.49,1.05,1.38,4.18
August,,,,,,,,,2.93,,,,,,,,,,,,1.6,1.48,2.91,2.17,3.36,,,,,,,5.09,1.34,0.7,2.63,3.07,1.39,1.58,2.05,2.04,0.18,4.91,2.53,1.89,1.82,1.21,4.74,0.45,3.18,1.39,3.73
September,,,,,,,,,1.49,,,,,,,,,,,,2.1,1.9,1.98,1.84,3.85,,,,,,3.28,2.12,2.63,2.39,1.27,3.74,2.49,1.99,1.38,1.2,1.42,0.23,0.77,1.9,2.66,2.24,3.39,1.2,1.54,0.97,3.29
October,,,,,,,,,2.69,,,,,,,,,,,,1.74,1.08,1,5.89,3.72,,,,,2.6,1.02,0.59,4.57,2.24,1.89,3.26,2.04,2.61,2.65,5.26,3.41,1.32,3.1,2.96,3.75,3.08,1,0.3,2.49,5.89,0.37
November,,,,,,,,,0.97,,,,,,,,,,,,1.19,1.95,1.65,2.24,2.77,,,,,6.59,4.93,3.21,1.49,1.11,2.31,5.2,3.26,1.57,3.32,5.12,7.08,3.09,2.02,1.55,4.08,0.29,5.21,1.15,2.05,2.6,4.72
December,,,,,,,,,2.4,,,,,,,,,,,,2.43,1.45,3.49,2.63,4.04,,,,,7,2.62,0.69,0.58,0.55,5.78,2.88,2.36,4.08,3.23,1.19,1.57,1.59,3.25,1.5,1.89,3.76,2.75,2.82,3.84,1.78,1.79
Total,,,,,,,,,27.38,,,,,,,,,,,,27.7,14.75,29.05,32.73,37.28,,,,,,,27.92,25.63,23.02,24.43,32.52,31.58,32.22,20.68,32,28.47,29.1,23.98,23.18,23.07,24.44,33.62,21.51,27.91,22.08,30.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Copied from Surrey Advertiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908 Mar-Apr bracketed Total 6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-1924 from Surrey Advertiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Dec Terminated owing to ill health of observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
