"ALTNAHEGLISH (ALTABROGY BURN)",,,,,,,,,,,,
Grid ref,IC701033,Long,-6.908676,Lat,54.872685,,,,,,,
Station no,6243/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.83,7.20,1.69,4.72,4.81,5.43,7.53,5.18,3.70,7.10,,
February,4.88,3.33,2.64,5.96,4.24,1.94,5.25,6.72,1.81,7.23,,
March,3.67,2.79,1.08,5.17,1.52,3.03,4.39,2.80,6.21,3.20,,
April,2.95,2.01,2.71,1.57,3.68,1.78,1.65,2.53,5.29,4.86,,
May,3.13,1.81,3.36,5.87,4.40,2.49,2.46,3.90,1.35,3.27,,
June,3.69,3.61,3.22,3.87,5.37,4.65,1.78,6.71,3.48,3.45,,
July,4.61,2.77,5.98,4.51,1.27,5.96,7.76,7.71,4.97,7.76,,
August,7.80,5.18,4.44,4.11,1.32,6.26,4.90,5.18,2.96,5.64,,
September,5.19,3.43,4.20,7.88,4.80,5.32,6.94,6.85,1.42,3.82,,
October,2.12,7.65,3.50,6.91,4.65,4.06,4.80,5.37,6.55,8.20,,
November,9.30,4.45,4.70,7.84,3.56,4.33,1.95,2.33,9.33,5.91,,
December,6.96,6.20,4.78,7.17,7.70,6.80,8.09,7.38,10.59,5.35,,
Total,59.13,50.43,42.30,65.58,47.32,52.05,57.50,62.66,57.66,65.79,,
Calc annual,59.13,50.43,42.30,65.58,47.32,52.05,57.50,62.66,57.66,65.79,,
Difference,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
