ALTNAHEGLISH (ALTABROGY BURN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IC701033,Long,-6.908676,Lat,54.872685,Elevation,967,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6243/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,6.98,7.22,5.13,6.79,3.45,8.55,11.11,7.45,4.43,4.02,4.17,9.43,7.36,6,5,6.75,6.66,7.08,5.66,4.72,4.83,7.2,1.69,4.72,4.81,5.43,7.53,5.18,3.7,7.1
February,5.9,0.24,5.87,0.81,7.01,3.27,7.12,3.3,5.6,4.09,4.98,3.25,4.08,1.82,5.22,4.01,2,3.9,4.82,5.14,4.88,3.33,2.64,5.96,4.24,1.94,5.25,6.72,1.81,7.23
March,2.16,4.45,4.96,3.55,1.87,4.91,3.86,3.34,5.42,6.35,4.13,4.6,1.68,1.7,2.57,2.58,6.28,4.76,3.35,3.02,3.67,2.79,1.08,5.17,1.52,3.03,4.39,2.8,6.21,3.2
April,4.94,5.93,2.66,5.29,4.53,1.9,4.51,0.52,3.53,7.02,2.45,3.46,3.9,,2.31,1.25,6.7,3.4,4.58,5.94,2.95,2.01,2.71,1.57,3.68,1.78,1.65,2.53,5.29,4.86
May,6.1,3.91,4.54,4.64,1.23,2.92,2.83,3.97,1.61,2.8,2.36,5.21,5.68,,6.13,1.81,4.09,2.56,2.75,2.88,3.13,1.81,3.36,5.87,4.4,2.49,2.46,3.9,1.35,3.27
June,5.82,2.76,3.12,3.75,5.86,2.15,2.26,7.27,3.5,1.89,0.53,1.15,4.39,4.45,5.51,5.19,5.67,4.66,2.79,3.44,3.69,3.61,3.22,3.87,5.37,4.65,1.78,6.71,3.48,3.45
July,5.99,5.37,4.38,3.42,2.03,8.82,7.3,7.25,6.92,5.58,5.09,6.06,2.42,4.67,6.52,5.61,6.9,3.65,2.19,8.7,4.61,2.77,5.98,4.51,1.27,5.96,7.76,7.71,4.97,7.76
August,4.08,2.27,3.24,6.66,3.77,3.2,4.98,2.79,2.43,2.03,6.38,8.11,6.66,3.03,2.28,7.77,0.33,6.36,3.89,7.66,7.8,5.18,4.44,4.11,1.32,6.26,4.9,5.18,2.96,5.64
September,3.12,5.4,1.43,9.31,5.98,5.9,4.48,4.61,3.04,4.52,1.23,7.17,5.01,,4.75,8.56,3.99,6,3.33,9.48,5.19,3.43,4.2,7.88,4.8,5.32,6.94,6.85,1.42,3.82
October,4.27,6.23,5.13,7.77,9.29,4.7,2.34,8.45,4.54,6.97,5.52,5.25,5.95,,6.57,1.91,2.47,4.6,6.6,7.06,2.12,7.65,3.5,6.91,4.65,4.06,4.8,5.37,6.55,8.2
November,8.55,4.66,2.36,1.95,7.71,5.98,2.77,8.5,7.5,7.33,7.95,1.89,5.97,,0.91,5.02,7.78,3.85,5.33,4.64,9.3,4.45,4.7,7.84,3.56,4.33,1.95,2.33,9.33,5.91
December,4.73,9,3.41,9.27,6.78,5.76,4.54,7.27,5.91,6.9,4.68,8.71,4.21,,7.02,6.9,3.3,8.85,8.39,5.7,6.96,6.2,4.78,7.17,7.7,6.8,8.09,7.38,10.59,5.35
Total,62.64,57.44,46.23,63.21,59.51,58.06,58.1,64.72,54.43,59.5,49.47,64.29,57.31,,54.79,57.36,56.17,59.67,53.68,68.38,59.13,50.43,42.3,65.58,47.32,52.05,57.5,62.66,57.66,65.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1944 April, May, Sept-Dec and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
