"LAMMERMUIR HILLS (HUNGRY SMOUT)",,,,,,,,,,,,
Grid ref,NT665633,Long,-2.536786,Lat,55.861712,,,,,,,
Station no,5094/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,2.62,2.91,2.07,1.74,4.75,,
February,,,,,,2.70,4.33,2.33,0.30,2.97,,
March,,,,,,1.23,1.97,2.92,0.84,1.64,,
April,,,,,,1.06,0.86,2.93,2.26,1.58,,
May,,,,,,0.77,1.78,3.17,0.45,1.32,,
June,,,,,,2.65,1.63,4.03,1.98,1.29,,
July,,,,,,4.03,3.99,4.65,1.90,3.46,,
August,,,,,,9.82,8.37,2.44,0.77,3.56,,
September,,,,,1.46,3.77,2.37,2.26,0.42,2.55,,
October,,,,,2.61,1.99,1.86,1.87,2.60,9.34,,
November,,,,,1.64,1.09,2.30,0.79,6.84,3.22,,
December,,,,,5.08,3.35,3.63,6.43,5.58,2.91,,
Total,,,,,,35.08,36.00,35.89,25.68,38.59,,
Calc annual,0.00,0.00,0.00,0.00,10.79,35.08,36.00,35.89,25.68,38.59,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
