DOUNE CAULDHAME,,,,,,,,,,,,,,,,,,,,
Grid ref,NN704074,Long,-4.092754,Lat,56.241404,Elevation,830,ft,,,,,,,,,,,,
Station no,RR6155,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,4.16,2.71,6.58,3.12,7.06,6.37,6.43,3.75,4.62,3.62,4.19,3.51,9.5,1.95,,
February,,,,,4.46,3.09,3.08,4.94,2.99,2.5,4.36,8.92,5,3.95,6.87,6.09,5.75,0.95,,
March,,,,,2.64,5.95,4.17,4.11,2.94,2.31,2.95,2.19,6.29,8.54,5.45,2.61,2.23,2.27,,
April,,,,,5.75,3.08,2.01,2.91,1.78,5.29,5.24,3.11,1.77,3.02,3.24,4.33,3.52,1.49,,
May,,,,,4.31,3.38,6.02,4.22,3.31,4.4,2.04,2.13,2.57,3.74,2.41,1.75,5.8,4.76,,
June,,,,,2.24,1.35,1.35,5.51,2.89,2.9,2.12,3.18,6.53,3.58,0.91,3.52,3.49,2.75,,
July,,,,,3.92,3.3,2.96,3.18,4.6,3.51,6.1,2.97,1.86,0.59,3.54,4.11,4.52,0.78,,
August,,,,,7.61,6.86,5.78,6.69,4.34,3.59,10.24,4.29,5.78,2.23,5.36,4.84,3.3,7.11,,
September,,,,,6.44,2.85,3.23,2.33,8.62,2.21,2.31,2.49,3.02,2.92,2.45,2.09,1.03,4.15,,
October,,,,,3.3,4.33,6.88,6.45,2.13,7.72,3.35,4.05,4.63,4.06,1.6,3.52,8.99,7.76,,
November,,,,,1.97,6.68,5.57,3.02,4.05,2.51,3.73,7.92,5.36,6.63,7.05,3.37,6.01,7.81,,
December,,,,,6.59,5.01,3.43,6.57,5.3,7.25,4.43,7.5,12.16,3.74,7.15,7.22,7.44,2.86,,
Total,,,,,53.39,48.59,51.06,53.05,50.01,50.56,53.3,52.5,59.59,46.62,50.22,46.96,61.58,44.64,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6155,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
