CHILWORTH-BRAUNSTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ028473,Long,-0.529535,Lat,51.215657,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,200/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.41,6.06,2.99,5.57,2.91,2.88,2.92,6.63,1.95,1.98,2.5,2.23,4.93,1.09,0.89,4.05,,,,,,,,,
February,,,,,,2.03,4.48,0.57,1.61,2.8,3.02,0.84,1.83,0.79,2.03,2.54,1.46,1.34,1.51,5.27,7.53,,,,,,,,,
March,,,,,,1.66,4.1,0.28,1.28,3.52,3.66,1.9,0.42,0.2,1.15,1.22,5.47,0.93,1.11,1.49,4.34,,,,,,,,,
April,,,,,,1.86,2.76,0.24,3.11,1.76,1.47,1.94,1.24,1.03,1.2,2.89,2.41,1.84,1.95,2.56,2.98,,,,,,,,,
May,,,,,,0.72,3.25,1.39,2.26,1.24,2.44,3.86,2.71,0.5,1.53,3.37,1.5,2.6,2.15,1.35,2.56,,,,,,,,,
June,,,,,,3.69,1.5,0.61,1.22,0.76,2.5,0.27,1.58,1.65,2.69,2.71,2.47,3.25,0.59,1.14,1.02,,,,,,,,,
July,,,,,,4.46,0.81,2.93,3.54,2.94,2.88,2.06,2.45,1.53,5.16,1.76,1.36,1.17,0.91,3.67,1.92,,,,,,,,,
August,,,,,,0.22,1.89,1.14,2.31,0.18,4.31,3,1.37,2.1,1.76,4.95,0.62,3.91,1.73,2.66,4,,,,,,,,,
September,,,,,,2.49,1.93,1.76,0.64,1.54,0.33,1.54,1.66,2.5,2.44,3.95,1.18,1.89,0.66,3.37,2.94,,,,,,,,,
October,,,,,,2.18,3.46,2.83,5.46,3.75,1.13,3.97,3.16,4.24,3.59,0.97,0.47,1.81,7.59,0.37,0.84,,,,,,,,,
November,,,,,,3.09,1.87,4.74,4.92,7.76,3.59,1.95,1.45,4.47,0.3,5.2,1.22,1.76,3.15,6.09,8.22,,,,,,,,,
December,,,,,,3.71,4.79,4.95,1.56,1.6,2.02,4.4,1.97,2.84,4.59,3.4,3.36,4.7,1.66,2.22,3.31,,,,,,,,,
Total,,,,,,31.52,36.9,24.43,33.48,30.76,30.23,28.65,26.47,23.8,28.42,35.46,23.75,30.13,24.1,31.08,43.71,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorking Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
