"CRUMMOCK WATER, LANTHWAITE GREEN",,,,,,,,,,,,,,,,,,,,,
Grid ref,NY158208,Long,-3.304065,Lat,54.575374,Elevation,510,ft,,,,,,,,,,,,,
Station no,3637,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,10.65,5,13.28,2.5,13.6,6,13,12,11.8,3.92,11.84,,,,
February,,,,,,,7.58,11.7,5.85,0.9,0.6,8.85,0.07,9.55,0.85,9.2,4.15,,,,
March,,,,,,,2.5,5.3,5,1.5,4.44,1.2,2.55,5.41,3.2,1.4,3.25,,,,
April,,,,,,,5.85,3.9,4.5,3.5,1.3,2.7,6.2,3.42,7.5,3.95,1.65,,,,
May,,,,,,,4.25,3.25,1.5,2.6,2.95,3.7,4.25,2.25,4,0.96,1.72,,,,
June,,,,,,,5.3,5.3,5.5,2.55,4.65,9.8,0.8,3,3.1,,5.93,,,,
July,,,,,,,5.15,4.85,6.6,,4.3,7.15,9.75,4,3,,,,,,
August,,,,,,,8.6,4.05,7.5,,11.95,7.3,6.3,4.1,12.5,,,,,,
September,,,,,,,6.6,8.3,5,2.3,3.45,2,5.52,0.8,-999,,,,,,
October,,,,,,,7.8,13.25,12.75,12.65,12.55,5,11,5.5,-999,,,,,,
November,,,,,,,8,3.9,12.4,14.26,8.5,14.25,7,2,3.1,,,,,,
December,,,,,,,0.76,2.1,7.4,14,5,6.7,12.6,0.85,8.7,,,,,,
Total,,,,,,,73.04,70.9,87.28,,73.29,74.65,79.04,52.88,77.15,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1929 July 7.45, Aug 7.9 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,
"1934 Sept and Oct bracketed 19.4""",,,,,,,,,,,,,,,,,,,,,
