CALLANDER (LENY HOUSE),,,,,,,,,,,,
Grid ref,NN613088,Long,-4.240199,Lat,56.251403,,,,,,,
Station no,5518,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.40,4.20,2.50,6.10,3.30,3.10,5.10,7.40,2.40,,,
February,3.70,1.40,2.30,5.00,2.90,1.30,5.60,2.00,2.35,,,
March,3.40,6.00,1.50,4.20,1.20,2.20,5.50,1.50,4.90,,,
April,4.85,2.90,2.60,2.50,3.20,1.10,2.00,2.00,4.70,,,
May,1.15,1.60,2.50,4.70,3.20,1.60,3.00,1.80,0.70,,,
June,2.50,3.40,2.70,3.40,2.20,2.90,1.75,2.40,2.20,,,
July,3.60,2.20,5.90,3.10,0.40,5.70,3.80,5.50,,,,
August,6.40,4.90,2.90,6.00,1.00,5.50,4.00,6.45,,,,
September,4.20,2.00,6.50,7.40,4.20,3.50,3.50,5.30,,,,
October,1.80,5.25,3.00,10.40,4.40,3.20,6.40,5.55,,,,
November,8.20,4.00,8.80,10.50,2.40,4.70,1.40,1.90,,,,
December,8.80,5.75,7.00,11.30,10.90,5.10,8.00,7.70,,,,
Total,55.00,43.60,48.20,74.60,39.30,39.90,50.05,49.50,,,,
Calc annual,55.00,43.60,48.20,74.60,39.30,39.90,50.05,49.50,17.25,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
