CALLANDER LENY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN613089,Long,-4.240251,Lat,56.252301,Elevation,345,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,13.1,5.8,1,,,,,,7.5,14.3,12.7,8,6.3,11.5,5.2,12,9.8,4.2,8.5,10,13,8.6,10,6.8,10,4.4,-999,4.5,1,8.3,8,10,5.6,10,6.7,5.4,4.3,12.9,5,5.8,2.8,11,1.5,3.2,1.6,5.7,8.3,9.1,3.5,4.1,12,5.8,3.7,10.7,4.5,8.3,9.4,8.4,5,6.5,5.5,5,4,11.6,2,6.3,5.5,8.3,10.1,7.5,7,6.4,5,11.3,8.7,17.5,1.9,8.5,3.7,9.1,7.5,9.8,2.5,5.1,7.6,10.8,5.6,1.1,1.3,4.7,8.35,8.3,2.1,8.4,7.6,8.4,7.4,5.7,6.4,4.2,2.5,6.1,3.3,3.1,5.1,7.4,2.4,,,
February,,,,3.3,5.9,2,,,,,,7.3,0,6.5,5.7,4.4,8.1,8.6,12.5,8.7,7,6.6,7.9,1.7,1.4,1.8,5.8,6.4,4.5,-999,6.5,4.3,7.4,5.5,7.2,9,5,5.1,0.3,3.8,0.7,1,1.8,7.3,15.6,0,2.4,6,4.6,4.2,2.6,1,2,10,5.2,4.2,4.7,7.2,4.6,3.1,6.7,11.3,7,6,9.7,9.6,6.5,0.6,9.3,0.4,11.3,1.4,5.55,7.2,1.1,7,7.5,3.8,6.6,2.5,0.3,4.7,0,5.4,0.4,6.7,2.8,6,4.8,8.9,2.9,6,2.15,5.4,2,11.2,4.55,0.3,7.6,5.3,7.45,3.7,1.4,2.3,5,2.9,1.3,5.6,2,2.35,,,
March,,,,2.1,4.3,13.5,,,,,,5.8,4.5,-999,6,2.6,3.6,3.8,4.4,0.9,0.9,4,6.3,2.3,6.9,3.2,9.6,2.5,2.9,-999,3.4,6.5,8.2,1.3,5.3,5,6,2.6,4.5,1.8,4.6,3.9,1.3,1.4,6.3,5.5,6,9.6,1.8,6.05,0.2,3,3.8,11,2.5,7.2,4.7,5.5,7.1,2.7,3.5,2.6,7.5,11,7,3.5,1.7,2.6,1.6,4.7,5.3,9.7,3.4,3.2,0.3,1.7,4.8,4.55,7.6,1.1,3.6,1.1,2.6,3.3,3.7,2.6,3.8,3.2,4.7,3.6,5.7,1.9,3.95,3.45,0.2,5.4,3.7,4.2,5.1,3.9,3.2,3.4,6,1.5,4.2,1.2,2.2,5.5,1.5,4.9,,,
April,,,,4.1,0.2,4,,,,,,0,7.5,-999,2.5,1,3.5,6.7,5.7,2.4,2.1,4.9,0.8,0.9,3.6,2.3,2.6,4.2,3,2.4,3.5,1,2.7,3.3,1.3,2,2.5,2.5,2.5,3.9,1.5,1.1,1,0.5,0.7,2.5,2.2,3.1,4.2,5.3,3.4,4.2,1.2,1.6,7.8,3.6,2.1,2.7,1.5,5.2,4.6,4.1,1.5,4,4.7,4,3.8,1.1,0.8,2.7,1.9,1.1,3.4,4.7,3.4,5.8,2.7,3.3,3.4,0.7,1.1,2.6,5.8,2.6,4.3,4.1,1.6,2.4,0.6,2.9,3.8,1.7,3.5,4.2,3.9,2.5,1.2,9.3,3.8,5.5,3.45,4.85,2.9,2.6,2.5,3.2,1.1,2,2,4.7,,,
May,,,,0.3,3.3,,,,,,,0.6,4.2,-999,1.3,4.3,0.7,3.1,4.7,0.7,5.7,1.2,2.4,3.1,2,3.5,0.05,4.2,7.3,2.3,2,3.2,3.2,3.9,5.3,2.6,3,0.5,4.5,3.8,2.1,1.2,4.3,1.9,1.9,0,0,2.34,1.2,3,5,1.5,1.6,1,4,3,6.2,5.2,4.1,4.7,2.1,2.4,2,5,2.5,1.6,4.5,4.2,2.3,1.2,7.1,4.2,5.4,1.7,5.1,8.3,4.2,2.3,1.4,3.6,3.4,6.8,4,2.2,3,0.05,1.6,2,5.4,0.6,0.6,2.4,4.2,4.1,3.4,4.2,1.3,4.5,2.3,2.5,1.3,1.15,1.6,2.5,4.7,3.2,1.6,3,1.8,0.7,,,
June,,,5.1,5.3,6.3,3,,,,,,3.2,4.3,-999,6.1,0.5,2.2,2.3,1.7,3.2,1.1,1.3,7.7,3.6,2.4,3.8,5.5,6,3.5,5.7,2.5,4.8,5.8,2.5,1.4,1.2,1,1.5,3.6,0.3,6.1,1.3,5,1.9,3,1.3,4,8.6,2.5,2,4.7,1.6,2,3.3,2,1.7,1,6.5,3.1,2.2,3.4,3.1,7,3.9,1,1.7,2.7,3,1.4,2.6,2.1,0.1,1.8,1.2,2.7,0.35,2.6,5.5,5,2.6,2.9,6.5,1.4,1.1,1.5,6.1,1.6,3.3,6.3,2.8,0.2,0.8,1.1,6.3,4.6,5.4,4.6,5,5.7,1.4,1.7,2.5,3.4,2.7,3.4,2.2,2.9,1.75,2.4,2.2,,,
July,,,5.5,9.4,6.3,4.3,,,,,,8.3,6.2,0.3,4,3.3,2.7,5,0.8,3.3,1.8,6.1,3.9,8.7,3.9,1.5,2.5,4.6,0.9,5,3.2,5.8,9,4.3,5.3,2.2,3.9,4,6.4,1.7,3.7,1.8,3.7,2.4,3,4.6,3,2.6,0.75,3,2.5,3.1,2.7,5.8,3,3.3,3.7,2.7,4.9,3.5,5.3,3.5,2.8,0.3,3,3.7,3.9,1.2,4,1.3,3.8,4.4,4.3,4,5.1,2.3,2.8,4,4.8,3.8,3,7.5,4.8,3.1,2.7,1.3,4.8,4.5,5.3,7.2,3.6,3.4,2.5,2.5,2.8,2.8,3.3,4.4,4.7,2.1,7,3.6,2.2,5.9,3.1,0.4,5.7,3.8,5.5,,,,
August,,,6.3,5.2,3.7,5.5,,,,,,10.5,3.6,5.3,1.9,6.2,10.3,4.6,8,0.6,0.3,5.5,7.6,6,5.9,5.5,4.6,6.5,6,5.3,1.9,4.4,4,7,4.9,4.1,3,4.5,3.6,7.5,4.2,7.8,8.8,5.8,5.2,6.2,1.6,8.7,6.6,1.3,4.1,3.4,2.5,6.7,6.5,7.2,6.5,7.4,5.2,3.7,12.4,6,5.8,1.5,4.9,4,4.1,7.7,3,3.1,6.3,6.5,3.1,7.9,5,5.3,4.6,7.6,6.7,6.5,7.5,1,2.7,3.5,4.5,4.3,3.1,5.2,3.1,1.5,1.6,4,7.5,7.6,4.2,2.05,5.1,0,8.8,5.4,6.3,6.4,4.9,2.9,6,1,5.5,4,6.45,,,,
September,,,1.2,6,,1.4,,,,,2.3,8,4,7.9,9.7,0.8,9.9,4.6,2.3,10,5.8,1.8,9,4.4,9,6.7,3.6,2.5,6.5,7.2,3.1,3,6.5,3.2,4.7,10.2,8.5,3.5,0.6,0.9,6.9,7.3,7.2,2.3,0,1.8,6.6,3.2,6.4,5.2,5.1,4.6,3.3,4.1,6.8,3.8,2.9,2.1,10.5,1.8,2.4,2.5,2.5,2.3,2.7,1.7,0.7,4.5,6.6,4.7,3.1,2.9,2.7,7.4,6.4,4.1,4.2,5.6,4.3,1.4,4.5,1.7,3.3,1.4,7.8,7.1,4.5,3.5,6.3,3.4,3.1,2.2,8.2,4.9,4,7.3,8.3,6.35,9.3,2.5,11.6,4.2,2,6.5,7.4,4.2,3.5,3.5,5.3,,,,
October,,,5.2,10.8,7.5,8,,,,,8.5,6.3,12.4,5.5,6.1,5.9,4.8,7.3,9,3,8.7,5.6,6.3,7.8,12.4,7.6,9.4,12,7.7,2.4,0.6,4.7,5.7,6.9,7.6,6,5.7,2.3,4.2,5.6,5.2,5.9,3.8,6.4,4,3,3.5,2.3,5.7,5.05,5.8,5.5,3.6,12.05,3.5,5,8.3,4.9,2.3,9.4,2.7,5.5,7.8,3.5,1.7,3.6,10.4,9.3,7.5,1,2.5,6.1,2.9,8.3,4.6,5.8,8.5,7.5,9.6,7.6,7.8,4.2,7.6,3.3,9.2,10.4,7.2,3,12,2.7,7.4,5.7,6.1,14.1,5.9,7.65,0.6,3.6,9.5,9,6.7,1.8,5.25,3,10.4,4.4,3.2,6.4,5.55,,,,
