"SWAFFHAM DUNHAM",,,,,,,,,,,,
Grid ref,TF877128,Long,0.775194,Lat,52.680374,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.52,0.78,1.29,1.72,1.67,1.02,3.51,1.48,1.08,0.89,,
February,3.04,1.20,1.06,0.53,3.03,1.27,2.56,1.36,2.03,0.56,,
March,0.99,1.78,1.42,2.12,1.89,2.12,1.99,1.19,2.18,3.12,,
April,1.35,2.16,1.18,2.42,0.95,1.85,0.85,3.03,2.72,1.37,,
May,1.85,0.94,4.16,2.19,1.62,1.56,1.68,2.68,1.88,1.37,,
June,2.77,1.45,2.73,2.85,0.84,3.66,2.85,2.55,1.05,3.63,,
July,2.40,1.32,2.16,3.92,2.84,0.85,1.24,1.45,3.81,4.24,,
August,4.07,1.41,2.14,3.85,2.85,2.78,2.08,2.06,2.80,2.64,,
September,0.71,1.20,1.19,4.25,2.22,3.10,1.15,0.58,2.07,1.83,,
October,2.32,2.49,1.79,5.84,1.09,3.72,4.47,2.95,1.41,4.32,,
November,2.68,2.30,1.24,2.02,1.47,2.38,3.66,2.62,1.32,1.10,,
December,2.83,3.54,1.49,1.17,1.75,1.05,2.09,2.40,1.39,4.13,,
Total,28.53,20.57,21.85,32.88,22.22,25.36,28.13,24.35,23.74,29.20,,
Calc annual,28.53,20.57,21.85,32.88,22.22,25.36,28.13,24.35,23.74,29.20,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
