SWAFFHAM DUNHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF877128,Long,0.775194,Lat,52.680374,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.11,1.89,1.31,0.8,3.51,2.02,1.73,2.97,1.85,3.09,2.18,1.04,0.23,1.61,1.75,2.21,1.81,2.77,2.72,1.72,1.33,0.73,2.6,2.56,1,2.1,1.62,3.6,1.37,1.85,1.15,2.04,3.52,0.78,1.29,1.72,1.67,1.02,3.51,1.48,1.08,0.89,2.57,1.96,2.72,2.65,1.95,3.06,1.75,2.62,2.93,3.26,,,,1.93,2.14,1.14,3.62,2.49,4.71,2.55,2.09,2.62,1.18,0.93,2.06,2.23,3.21,4.18,2.61,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.43,2.31,1.06,2.47,1.6,2.25,1.83,1.4,3.28,2.85,1.47,2.36,1.89,3.21,1.65,3.35,0.79,2.38,0.4,0.6,2.64,1.8,0.64,0.07,2.34,2.7,1.13,0.3,0.76,2.2,0.95,1.01,3.04,1.2,1.06,0.53,3.03,1.27,2.56,1.36,2.03,0.56,2.25,2.02,1.5,0.8,1.47,3.01,4.47,1.04,1.3,2.97,,,,2.71,1.63,2.84,2.07,2.23,1.43,0.81,1.47,3.04,0.83,2.42,0.79,2.67,2.72,3.08,0.73,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.56,2.46,1.82,1.45,2.67,2.29,1.42,0.64,2.69,2.29,0.87,1.12,1.07,2.12,1.5,1.94,1.46,1.32,1.32,2.25,2.43,1.25,2.62,1.64,0.91,0.26,0.84,2.02,3.38,2.18,2.08,1.39,0.99,1.78,1.42,2.12,1.89,2.12,1.99,1.19,2.18,3.12,0.92,3.31,3.22,2.47,3.71,1.53,3.56,2.25,0.85,2.36,,,,1.64,1.03,1.84,0.34,2.06,1.87,0.27,1.46,0.85,1.5,2.72,1.96,0.59,0.75,3.89,0.59,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.2,1.33,0.88,3.78,2.58,1.64,1.5,1.01,3.78,2.58,1.16,2.55,2.3,1.23,3.14,1.4,1.26,1.57,1.6,1.21,2.02,2.07,0.91,1.04,1.42,0.11,2.47,1.42,1.13,2.67,1.1,2.56,1.35,2.16,1.18,2.42,0.95,1.85,0.85,3.03,2.72,1.37,2.35,1.3,0.45,2.57,0.79,0.95,2.04,2,2.97,1.8,,,,1.01,2.13,2.61,2.12,2.02,1.52,0.99,2.42,4.28,3.68,1.26,2.36,3.82,1.43,2.64,0.67,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.44,2.4,0.84,1.2,2.93,2.72,1.42,1.34,1.1,2.17,4.98,2.6,0.62,0.84,1.7,1.13,0.95,2.86,2.62,2.16,0.99,2.56,1.96,3.42,1.67,1.14,2.5,1.01,0.76,1.08,3.05,1.84,1.85,0.94,4.16,2.19,1.62,1.56,1.68,2.68,1.88,1.37,4.16,2.26,2.19,2.02,1.14,2.04,2.17,0.6,1.74,0.63,,,,1.88,3.24,2.64,2.75,0.76,2.37,1.73,3.15,3.68,4.47,2.19,1.21,0.93,1.55,2.48,3.17,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.64,1.94,1.38,2.94,3.91,1.94,2.19,2.56,2.18,2.08,1.93,4.62,3.53,1.61,4.52,4.17,0.78,1.22,0.79,0.32,1.03,1.6,3.51,1.22,2.95,1.74,2.8,1.49,2.7,2.15,2.83,0.73,2.77,1.45,2.73,2.85,0.84,3.66,2.85,2.55,1.05,3.63,3.34,4.7,3.02,1.25,2.29,1.13,3.4,1.64,1.35,1.95,,,,0.72,1.58,0.76,4.33,5.37,3.38,1.23,1.26,1.45,0.69,3.45,1.33,3.13,4,1.91,1.39,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.34,0.63,2.27,3.09,5.3,1.98,1.01,6.32,2.67,2.91,1.83,5.36,5.78,2.38,1.87,3.56,2.98,1.29,5.57,0.72,4.22,2.71,3.89,5.22,3.93,4.86,3.04,4.19,3.31,0.65,1.06,1.74,2.4,1.32,2.16,3.92,2.84,0.85,1.24,1.45,3.81,4.24,4.26,0.25,2.8,2.23,1.26,4.06,1.22,2.52,3.55,3.03,,,,3.13,2.04,1.7,1.6,3.68,2.29,3.08,5.42,3.91,3.53,2.6,1.48,1.36,5.62,2.76,2.34,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.25,1.67,2.12,0.55,5.41,2.08,2.16,0.85,2.29,4.13,7.32,5.08,2.11,5.22,2.38,1.52,3.16,1.66,2.9,2.36,3.68,3.98,2.89,5.03,2.39,1.57,2.55,3.06,1.79,2.82,1.96,1.9,4.07,1.41,2.14,3.85,2.85,2.78,2.08,2.06,2.8,2.64,1.87,0.86,8.27,1.64,1.11,1.62,2.98,5.01,2.09,2.65,,,,2.5,2.74,2.27,1.99,3.31,2.28,1.25,3.55,2.91,1.51,0.85,2.08,1.06,1.3,1.97,1.5,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,3.42,3.58,1.65,4.23,3.3,2.85,3.12,2.35,4.68,2.67,1.71,3.45,3.59,3.53,3.3,5.39,2.67,4.74,1.81,2.62,1.59,2.83,0.66,1.08,2.31,1.11,2.22,0.57,4.68,4.03,0.2,4.69,0.71,1.2,1.19,4.25,2.22,3.1,1.15,0.58,2.07,1.83,1.36,3.43,2.95,1.21,1.58,1.56,1.68,2.64,5.49,0.96,,,,2.05,3.28,3.71,1.65,3.71,0.56,0.43,5.83,2.32,2.21,2.46,1.86,4.33,3.08,3.27,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.1,2.85,4.48,1.66,3.68,2.94,2.15,2.81,0.94,1.9,2.85,1.25,5.51,2.3,5.14,4.01,3.02,6,3.57,3.92,1.37,3.38,1.61,4.21,7.04,1.89,3.02,2.35,4.4,1.03,2.1,1.99,2.32,2.49,1.79,5.84,1.09,3.72,4.47,2.95,1.41,4.32,1.61,2.99,3,4.37,2.71,1.7,2.54,3.89,2.27,3.08,,,,3.37,4.73,2.35,1.85,2.84,3.45,3.43,1.09,1.61,5.3,3.26,1.8,3.08,2.19,1.7,,,,,,,,,,,,,,,,,,,,,,
