ARKHOLME STORRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD576713,Long,-2.650433,Lat,54.135783,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,5.9,4.6,2.97,4.55,4.07,1.83,5.97,7.18,4.96,5.72,2.28,7.01,2.92,1.26,0.46,1,2.7,6.68,6.67,2.46,,3.9,1.63,2.94,7.6,2.8,4.9,1.7,4.55,2.65,3.63,0.92,5.43,6.74,4.76,2.25,3.05,6.38,5.08,2.82,6.72,2.8,5.33,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,5.02,2.6,3.7,7.95,2.44,3.91,4.26,1.5,1.87,1,5.62,4.83,2.09,2.68,3.57,3.72,4.25,3.72,2.26,3.97,,2.55,0.98,3.05,0.77,0.4,2,5.61,7.3,0.9,2.16,3.98,4.05,2.9,4.93,1.16,1.25,5.22,3.75,2.93,3.57,1.97,2.76,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.16,1.86,6.56,1.03,2.79,1.33,4.2,2.4,4.87,1.09,4.23,3.74,2.07,2.81,3.15,5.79,4.73,1.23,3.87,3.15,,2.35,3.28,4.36,3.5,2.1,1.5,1.8,4.7,4.52,6.7,5.93,2.4,2.22,0.59,3.88,2.6,5.14,3.08,2.65,4.4,4.81,3.77,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.07,4.9,2.6,3.16,2.43,3.51,2.42,0.69,2.16,0.9,2.8,2.23,2.6,1.2,1.62,1.8,4.18,2.15,1.33,3.14,,2.21,1.95,2.08,1.84,1.55,1.8,0.42,1.5,2.86,2.36,3.73,3.29,4.07,2.7,2.21,1.8,2.14,4.29,3.41,1.35,2.15,1.94,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.53,2.11,1.25,3.1,2.54,1.33,2.4,2.19,1.5,3.16,0.89,2.47,4.31,2.48,2.48,4.75,2,1.75,3.5,1.4,,1.8,1.45,3.7,1.65,2,5.6,2.02,3.5,0.46,0.52,2.41,2.6,3.27,2.56,1.01,2.1,3.65,3.26,1.61,5.68,4.07,3.1,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,4.46,2,0.65,2.24,1.88,1.2,5.65,2.68,1.04,4.81,2.7,3.27,3.04,4.79,4.32,4.94,5.32,4.47,1,2.92,,0.35,2.2,1,4.25,1.45,4.73,2.32,3.85,2.15,3.31,4.04,3.16,1.19,2.79,1.83,1.1,1.65,1.37,2.6,3.28,8.58,3.38,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,4.7,3.1,1,0.85,2.35,6.53,5.18,4.3,3.3,3.04,4.64,4.88,0.79,6.02,5.14,6.91,6.44,2.9,5.25,2.5,,2.48,6.94,2.83,3.95,4.25,1.6,4.09,3.76,7.21,4.32,2,0.81,2.3,2.96,1.29,5.5,4.69,1.96,2.4,3.54,3.95,4.05,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,5.7,3.8,3.4,3.07,2.13,2.65,5.81,4.77,6.2,4.8,3.68,6.51,6.72,6.03,2.38,7.88,4.89,3.77,1.72,3.08,,1.88,4.24,7.4,7.2,12.35,8,4.79,5.33,5.9,2.63,6.21,7.48,2.64,5.78,3.76,2.93,7.69,3.49,5.65,4.66,5.35,5.25,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,9.05,4.3,2.63,9.3,3.51,3.47,8.87,2.75,5.66,4.4,3.75,3.8,5.87,3.91,2.91,2.22,1.93,4.5,1.61,5.5,,5.24,2.4,3.07,6.6,6.8,9.36,4.81,0.85,1.25,6.44,5.62,2.35,6,3.14,1.39,2.27,6.56,1.55,4.16,1.44,0.75,6.21,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.58,4.5,4.05,3.45,8.21,5.46,6.35,5.65,7.27,2.77,2.79,6.55,4.22,3.24,1.32,2.72,4.3,5.55,4,3.94,,1.86,3.93,6.18,3.75,4.54,4.7,6.9,5.62,4.9,4.43,2.33,4.34,4.18,8.21,4.4,4.1,9.28,3.17,3.3,7,4.68,1.98,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,7,1.8,3.1,5.55,2.75,1.85,5.07,2.34,4.65,5.18,3.13,6.61,2.64,1.29,5.85,5.09,6.91,5.18,1.2,3.65,,3,4.86,2.26,6.1,4.25,3.64,3.53,4.42,3.18,1.52,5.74,5.24,4.15,3.97,5.19,2.45,3.76,3.75,4.59,4.29,3.96,3.9,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,6.62,2.27,8.9,5.4,2.8,4.3,4.22,1.92,3.1,3.32,4.89,3.86,2.4,2.76,6.52,4.41,3.72,4.18,6.14,2.21,,3.5,3.11,4,0.5,7.5,2.8,4.51,4.78,4.63,5.44,6.52,5.44,3.35,6.75,4.52,3.9,4.41,3.45,1.68,3.62,5.71,3.5,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,55.79,37.84,40.81,49.65,37.9,37.37,60.4,38.37,46.58,40.19,41.4,55.76,39.67,38.47,39.72,51.23,51.37,46.08,38.55,37.92,,31.12,36.97,42.87,47.71,49.99,50.63,42.5,50.16,40.61,43.46,49.43,46.59,43.01,49.14,32.89,33.05,60.57,38.2,37.8,49.55,48.78,45.17,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1866 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
