PIKENAZE-MOOR-ROUND-HILL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE122008,Long,-1.8175363,Lat,53.503754,Elevation,1514,ft.,,,,,,,,,,,,,
Station no,2758,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.96,3.55,2.85,8.38,1.73,5.04,6.7,6.7,4.95,5.39,,,,,,
February,,,,,,4.68,3.5,1.9,4.1,0.85,0.76,7.92,0.94,8.3,0.49,,,,,,
March,,,,,,1.48,1.04,3.62,2.3,0.75,1.83,1.44,3.52,3.22,5.34,,,,,,
April,,,,,,2.28,2.27,3.68,1.52,1.45,3.06,6.9,8.03,2.15,3.86,,,,,,
May,,,,,,3.84,3.54,1.06,2.04,3.64,2.22,3.18,6.07,2.12,4.17,,,,,,
June,,,,,,0.03,4.7,4.65,5.2,1.3,4.16,6.18,0.71,3.74,2.55,,,,,,
July,,,,,,2.05,3.65,3.07,1.4,3.04,8.25,6.62,5.82,5.93,4.3,,,,,,
August,,,,,,3.33,5.55,5.18,4.82,4.95,5.65,8.06,3.25,1.62,4.5,,,,,,
September,,,,,,3.98,3.37,6.72,0.52,1.36,5.87,7.04,6.56,2.4,3.25,,,,,,
October,,,,,,4.7,3.86,4.3,5.46,5.31,6.04,2.83,10.42,6.69,6.88,,,,,,
November,,,,,,3.4,4.64,4.95,6.37,7.04,5.33,6.99,5.32,3.7,4.35,,,,,,
December,,,,,,3.4,1.7,1.5,1.95,6.35,3.23,3.35,2.67,0.9,6.89,,,,,,
Total,,,,,42.45,36.13,41.37,43.48,44.06,37.77,51.44,67.21,60.01,45.72,51.97,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is on Round Hill on Pikenaze Moor at the stated altitude.,,,,,,,,,,,,,,,,,,,,,
"NGR could be +/-250m N, E or S.",,,,,,,,,,,,,,,,,,,,,
890m from PIKENAZE-MOOR-AUDERNSHAW-CLOUGH,,,,,,,,,,,,,,,,,,,,,
