"VICTORIA LODGE EDINBURGH WW NO 8",,,,,,,,,,,,
Grid ref,NT098235,Long,-3.429334,Lat,55.496931,,,,,,,
Station no,5073,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.63,2.04,4.42,4.92,,
February,,,,,,,3.59,3.05,3.42,2.48,,
March,,,,,,,2.98,4.20,6.35,4.52,,
April,,,,,,,1.77,2.70,1.78,3.26,,
May,,,,,,,5.82,4.41,3.02,2.82,,
June,,,,,,,2.11,4.22,2.81,2.72,,
July,,,,,,,2.77,3.42,2.16,5.53,,
August,,,,,,,7.07,5.42,4.42,2.80,,
September,,,,,,,1.02,0.86,5.07,2.82,,
October,,,,,,,6.72,9.21,1.59,8.70,,
November,,,,,,,4.70,3.52,3.35,1.95,,
December,,,,,,,2.98,4.66,2.10,4.39,,
Total,,,,,,,48.16,47.71,40.49,46.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,48.16,47.71,40.49,46.91,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,,
