THIRSK - STONYBROUGH,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE430828,Long,-1.342,Lat,54.239,Elevation,122,ft,,,,,,,,,,,,,
Station no,3429,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934
January,,2.90,0.40,3.19,2.26,3.24,3.28,2.47,3.29,1.48,1.84,1.82,2.55,2.47,3.91,2.55,3.71,2.46,1.59,2.01,1.60
February,,3.07,2.65,0.73,2.03,1.06,0.84,0.14,2.09,4.46,1.20,3.24,1.37,1.26,1.29,0.92,0.91,1.70,0.66,5.17,0.72
March,,1.32,2.34,2.58,1.25,2.44,2.24,0.88,1.26,1.42,1.29,1.36,0.63,2.25,2.47,0.18,2.10,1.16,1.95,1.86,1.85
April,,0.95,1.06,1.69,1.54,1.66,3.17,0.98,2.36,1.59,1.95,2.74,0.82,1.47,0.78,1.07,2.96,3.67,1.35,1.36,2.70
May,,1.25,2.69,0.78,2.30,0.97,2.38,1.76,0.80,2.09,4.64,3.49,1.87,1.36,1.18,1.56,1.13,2.70,4.82,2.48,0.89
June,,0.33,2.44,1.96,0.98,1.24,1.23,0.34,1.83,0.75,1.97,0.06,4.06,2.91,4.02,1.66,1.61,4.37,0.68,1.33,1.20
July,,4.30,2.12,1.05,3.84,2.45,4.55,1.23,4.22,3.05,2.83,1.75,1.61,5.42,0.46,2.33,5.42,4.90,4.24,1.18,2.93
August,,2.89,1.58,6.51,2.34,2.23,1.81,3.99,3.37,3.65,2.73,2.36,3.48,7.59,4.89,2.44,2.72,3.82,1.73,0.30,2.28
September,1.30,1.11,2.02,0.63,5.97,0.87,1.17,1.34,2.37,2.84,2.42,2.65,1.51,5.15,0.47,0.87,3.61,3.64,1.88,1.42,2.19
October,1.68,0.93,3.05,3.11,1.72,4.41,2.73,1.24,1.17,2.63,3.85,2.58,2.49,2.32,3.51,2.68,2.30,1.43,3.54,4.03,2.24
November,2.30,2.08,2.35,1.40,1.53,2.67,1.08,2.07,1.46,3.30,1.58,1.97,4.38,2.07,2.36,3.44,3.22,3.95,1.24,3.02,
December,4.55,4.31,1.78,1.66,3.21,3.22,3.51,2.09,3.11,3.14,3.01,2.33,0.76,1.84,1.33,4.45,2.72,1.12,0.83,0.73,
Total,,25.44,24.48,25.29,28.97,26.46,27.99,18.53,27.33,30.40,29.31,26.35,25.53,36.11,26.67,24.15,32.41,34.92,24.51,24.89,
,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_20_pt1/287,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/173,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/311,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
# The figures on the sheet for November and December 1934 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,
# The gauge moved to South Villa at the start of 1935.,,,,,,,,,,,,,,,,,,,,,
