THIRSK - SOUTH VILLA,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE437819,Long,-1.331,Lat,54.231,Elevation,115,ft,,,,,,,,,,,,,,,,,,
Station no,3429,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.18,3.49,2.77,2.76,4.85,2.25,2.36,2.97,3.75,1.76,3.94,2.01,2.68,5.58,0.67,1.45,1.80,1.83,0.54,2.08,1.34,4.46,1.44,2.33,2.09,4.02
February,2.55,2.77,4.14,1.48,1.62,1.66,3.41,1.66,0.60,1.46,2.09,1.01,1.77,0.93,0.74,3.08,2.51,0.46,1.70,2.41,1.64,2.05,2.16,3.65,0.41,2.00
March,0.92,1.77,1.91,0.23,2.05,1.90,1.95,1.59,0.32,0.54,0.35,1.12,4.16,1.13,1.27,1.06,2.56,1.94,0.04,1.84,1.90,0.69,1.42,1.66,1.06,1.07
April,2.32,1.23,2.51,0.22,1.05,1.62,1.10,0.94,1.09,2.29,0.97,1.86,2.77,1.62,2.32,1.77,1.21,1.40,2.25,0.34,1.21,1.38,0.34,0.74,2.14,0.77
May,1.02,0.79,2.48,3.09,1.40,0.93,1.04,2.56,2.49,0.89,2.20,2.65,2.06,0.88,1.19,1.08,3.79,1.71,1.71,2.55,1.67,0.42,1.30,2.91,0.53,0.89
June,3.73,3.66,1.56,1.90,2.13,0.57,0.43,0.72,1.74,3.04,3.09,2.38,2.25,4.85,0.82,1.40,1.20,2.56,2.99,2.89,2.17,3.25,1.93,2.59,1.76,0.53
July,0.38,3.88,1.29,2.75,7.27,5.48,1.63,2.78,0.77,2.43,1.92,3.42,1.21,1.09,2.50,2.91,3.61,1.28,2.28,2.78,1.10,4.81,5.04,2.34,1.30,4.83
August,3.22,3.45,1.18,2.77,1.80,0.91,3.29,2.81,2.76,3.29,4.51,3.64,0.23,3.25,2.21,3.69,5.94,2.08,3.71,5.01,0.83,8.06,4.67,1.64,0.46,3.19
September,4.49,3.06,1.05,1.84,1.93,1.56,0.50,1.65,2.95,4.75,1.27,3.59,1.55,2.18,0.53,2.94,2.94,3.33,1.66,1.81,1.06,2.46,3.04,2.80,0.18,2.61
October,5.12,1.24,1.83,3.76,2.78,2.93,3.18,2.02,1.78,2.53,2.97,0.71,0.40,0.87,1.99,1.11,1.02,3.29,2.12,4.00,1.68,1.21,1.85,1.67,1.38,5.07
November,3.75,2.67,1.84,3.21,2.40,3.47,2.72,0.76,2.25,4.00,0.36,3.96,1.85,0.75,3.15,3.76,5.94,1.41,2.38,4.13,2.50,0.95,1.08,0.75,3.51,4.00
December,2.62,1.82,3.94,4.79,1.71,2.02,0.41,2.04,1.11,1.89,1.80,2.77,1.71,2.65,1.95,2.17,2.72,1.45,1.14,1.93,2.51,2.38,2.44,2.31,3.13,2.70
Total,32.30,29.83,26.50,28.80,30.99,25.30,22.02,22.50,21.61,28.87,25.47,29.12,22.64,25.78,19.34,26.42,35.24,22.74,22.52,31.77,19.61,32.12,26.71,25.39,17.95,31.68
,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/311,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/166,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/259,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge came from Stonybrough at the start of 1935.,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 2002 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,
