FORTINGALL (GARTH HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,NN 75649 47681,Long,-4.027275,Lat,56.60447,Elevation,475,ft,,,,,,,,,,,,
Station no,5558/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,8.94,3.7,1.35,1.74,3.32,5.14,5.15,,,,,,
February,,,,,,,,3.52,5.46,2.81,3.77,1.67,3.91,1.54,,,,,,
March,,,,,,,,2.8,3.03,3.08,1.78,3.05,3.2,0.81,,,,,,
April,,,,,,,,0.31,2.31,3.43,1.37,2.48,3.07,3.33,,,,,,
May,,,,,,,,2.97,0.74,0.9,3.14,3.45,2.57,3.58,,,,,,
June,,,,,,,,4.73,1.16,0.38,0.62,1.21,2.37,3.81,,,,,,
July,,,,,,,,3.93,5.99,5.15,2.79,1.86,2.03,3.03,,,,,,
August,,,,,,,3.23,2.9,2.2,1.21,3.69,4.12,5.36,3.6,,,,,,
September,,,,,,,2.9,3.64,2.32,1.47,1.36,5.72,2.85,4.06,,,,,,
October,,,,,,,3.24,7.82,5.15,6.24,4.25,4.73,8.71,,,,,,,
November,,,,,,,0.36,9.35,6.97,5.84,4.74,1.06,2.83,,,,,,,
December,,,,,,,2.78,5.18,1.92,4.73,3.55,6.5,2.25,,,,,,,
Total,,,,,,,,56.09,40.95,36.59,32.8,39.17,44.29,,,,,,,
,,,,,,,,,,,,,,,,,,,,
BR 1943 NP Low,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5558/2,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
