BROUGHTON IN FURNESS - obs Rev FA Mallison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD210874,Long,-3.2147324,Lat,54.276116,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,6.61,5.95,7.95,3.87,11.4,5.74,2.5,1.59,1.04,4.65,8.61,8.19,,5.92,3.98,2.82,3.39,8.87,3.27,6.69,2.93,6.33,3.45,4.56,1.54,,
February,,,,1.43,4.34,2.03,6.18,5.04,4,4.27,5.17,6.44,5.44,6.14,5.09,,2.31,3.35,1.75,3.73,1.26,0.82,2.2,10.12,8.41,1.24,4.41,3.51,,
March,,,7.82,5.12,3.98,1.67,3.94,4.81,2.75,3.15,3.2,7.54,4.96,,5.31,,8.31,2.62,4.24,4.38,6.19,2.81,2.04,3.38,2.94,6.21,7.37,7.64,,
April,,,2.1,0.85,1.44,1.81,3.94,2.37,2.58,2.08,2.74,2.18,5.93,3.55,1.44,,3.12,2.49,2.19,2.97,2.54,3.37,2.4,1.56,1.41,3.47,2.55,3.73,,
May,,,3.51,2.51,0.86,3.25,0.51,3.97,4.15,2.42,2.59,5.96,3.3,2.14,4.08,,6.96,2.29,2.26,4.34,3.82,2.75,6.59,2.86,3.94,0.71,0.63,2.94,,
June,,,6.79,3.62,0.92,4.83,4.76,3.73,3.65,3.58,3.61,6.09,6.36,4.33,0.74,,2.34,0.58,1.86,1.75,6.38,1.99,3.32,1.58,5.01,1.59,4.2,7.58,,
July,,,4.98,6.41,2.85,3.71,2.96,5.55,0.73,8.76,4.25,7.89,8.65,2.42,6.87,,6.79,2.65,8.87,3.16,5.29,3.42,3.25,5.54,5.23,6.66,5.66,2.56,,
August,,,7.28,5.86,9.05,4.49,4.61,7.97,7.07,7.29,1.84,5.79,6.7,6.59,1.39,,,1.49,4.95,7.18,6.9,10.38,10.41,7.99,6.61,5.61,4.78,7.09,,
September,,,10.3,3.5,5.78,7.78,5.67,3.07,5.95,5.77,5.33,4.39,3.46,6.44,5.28,,7.74,4.39,2.5,4.96,6.61,7.19,8.4,7.65,0.98,1.77,8.33,6.12,,
October,,,10.05,9.04,8.14,7.61,4.26,12.39,6.29,3.95,1.52,3.68,5.44,6.6,6.07,,6.34,5.49,5.54,7.18,6.08,6.3,5.93,8.06,6.64,7.27,6.46,3.57,,
November,,,5.38,3.98,9.24,7.41,3.67,10.93,2.78,1.36,7.2,8.23,9.59,7.06,2.31,,7.14,3.3,7.64,3.51,13.78,8.06,5.68,4.39,7.5,4.95,1.75,8.43,,
December,,,7.64,3.23,5.47,4,14.12,7.15,2.58,3.78,7.17,5.98,4.96,5.98,,,7.36,4.8,5.37,8.12,0.96,11,4.63,6.62,6.77,7.07,8.49,8.09,,
Total,,,,52.16,58.02,56.54,58.49,78.38,48.27,48.91,46.21,65.21,69.44,,,,,37.43,49.99,54.67,68.68,61.36,61.54,62.68,61.77,50,59.19,62.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872 record starts March previous records bracketed and estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total removed as record only starts March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886 Aug 2.42 and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 total 37.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 7/8th mile SE to Orchard Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR for 7/8 mile NE of that of Orchard Head - fits with elevation and the fact that observer was Rev Mallison as NGR is for the church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
